model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,exports/exp01_s2temporal.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.9357798165137615,0.9611111111111111,0.9019910083493898,"[[83, 7], [0, 19]]","[0, 1]",
extra_trees,default,exports/exp01_s2temporal.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.944954128440367,0.945906432748538,0.911525974025974,"[[85, 5], [1, 18]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp01_s2temporal.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.908256880733945,0.9444444444444444,0.866421568627451,"[[80, 10], [0, 19]]","[0, 1]",0.4
rf_balanced,default,exports/exp01_s2temporal.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.9357798165137615,0.9403508771929825,0.8986046511627908,"[[84, 6], [1, 18]]","[0, 1]",
rf_deeper,threshold_cv,exports/exp01_s2temporal.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.8990825688073395,0.9388888888888889,0.8552107233425914,"[[79, 11], [0, 19]]","[0, 1]",0.2
svc_rbf,default,exports/exp01_s2temporal.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.8899082568807339,0.9333333333333333,0.8442857142857143,"[[78, 12], [0, 19]]","[0, 1]",
extra_trees_kbest,default,exports/exp01_s2temporal.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.9174311926605505,0.9292397660818713,0.8739884393063584,"[[82, 8], [1, 18]]","[0, 1]",
rf_balanced,threshold_cv,exports/exp01_s2temporal.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.8715596330275229,0.9222222222222223,0.8232159406858202,"[[76, 14], [0, 19]]","[0, 1]",0.2
svc_rbf,threshold_cv,exports/exp01_s2temporal.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.8715596330275229,0.9222222222222223,0.8232159406858202,"[[76, 14], [0, 19]]","[0, 1]",0.1
hist_gradient,default,exports/exp01_s2temporal.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.9357798165137615,0.9195906432748537,0.8948601350420284,"[[85, 5], [2, 17]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp01_s2temporal.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.8990825688073395,0.9181286549707601,0.8508149807141968,"[[80, 10], [1, 18]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,exports/exp01_s2temporal.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.8532110091743119,0.9111111111111111,0.8030713640469738,"[[74, 16], [0, 19]]","[0, 1]",0.15
rf_deeper,default,exports/exp01_s2temporal.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.9174311926605505,0.9084795321637427,0.8696345514950166,"[[83, 7], [2, 17]]","[0, 1]",
extra_trees,threshold_cv,exports/exp01_s2temporal.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.8256880733944955,0.8944444444444444,0.7743271221532091,"[[71, 19], [0, 19]]","[0, 1]",0.1
