model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,exports/exp01_s2temporal.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.6764705882352942,0.6928571428571428,0.6761904761904762,"[[11, 3], [8, 12]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp01_s2temporal.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.6764705882352942,0.6821428571428572,0.6739319965126417,"[[10, 4], [7, 13]]","[0, 1]",0.2
logistic_l2,threshold_cv,exports/exp01_s2temporal.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.6470588235294118,0.6785714285714286,0.6458333333333333,"[[12, 2], [10, 10]]","[0, 1]",0.75
rf_deeper,threshold_cv,exports/exp01_s2temporal.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.7058823529411765,0.675,0.678030303030303,"[[7, 7], [3, 17]]","[0, 1]",0.3
hist_gradient,default,exports/exp01_s2temporal.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.6176470588235294,0.6428571428571428,0.6173160173160173,"[[11, 3], [10, 10]]","[0, 1]",
extra_trees_kbest,default,exports/exp01_s2temporal.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.5882352941176471,0.6285714285714286,0.5824561403508772,"[[12, 2], [12, 8]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/exp01_s2temporal.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.5882352941176471,0.6178571428571429,0.5868055555555556,"[[11, 3], [11, 9]]","[0, 1]",0.45
svc_rbf,default,exports/exp01_s2temporal.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.6176470588235294,0.6107142857142858,0.6091954022988506,"[[8, 6], [7, 13]]","[0, 1]",
rf_balanced,threshold_cv,exports/exp01_s2temporal.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.5588235294117647,0.6035714285714285,0.5490716180371353,"[[12, 2], [13, 7]]","[0, 1]",0.45
extra_trees,threshold_cv,exports/exp01_s2temporal.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.5294117647058824,0.5892857142857143,0.5018315018315018,"[[13, 1], [15, 5]]","[0, 1]",0.45
rf_balanced,default,exports/exp01_s2temporal.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.5,0.575,0.4415458937198068,"[[14, 0], [17, 3]]","[0, 1]",
rf_deeper,default,exports/exp01_s2temporal.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.5,0.575,0.4415458937198068,"[[14, 0], [17, 3]]","[0, 1]",
extra_trees,default,exports/exp01_s2temporal.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.4117647058823529,0.5,0.2916666666666667,"[[14, 0], [20, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/exp01_s2temporal.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.5588235294117647,0.475,0.3584905660377358,"[[0, 14], [1, 19]]","[0, 1]",0.15
