model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,exports/exp01_s2temporal.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.7475728155339806,0.7146206308610401,0.7146206308610401,"[[56, 13], [13, 21]]","[0, 1]",0.3
svc_rbf,threshold_cv,exports/exp01_s2temporal.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6796116504854369,0.7011935208866155,0.6695187165775401,"[[44, 25], [8, 26]]","[0, 1]",0.3
svc_rbf,default,exports/exp01_s2temporal.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.7184466019417476,0.6928815004262574,0.6883672404799166,"[[53, 16], [13, 21]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp01_s2temporal.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6796116504854369,0.6788150042625747,0.6612179806638094,"[[47, 22], [11, 23]]","[0, 1]",0.1
logistic_l2,default,exports/exp01_s2temporal.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.7281553398058253,0.6702898550724637,0.6769713261648745,"[[58, 11], [17, 17]]","[0, 1]",
rf_deeper,threshold_cv,exports/exp01_s2temporal.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6601941747572816,0.6568627450980392,0.6406857370676766,"[[46, 23], [12, 22]]","[0, 1]",0.35
extra_trees_kbest,default,exports/exp01_s2temporal.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.7281553398058253,0.6553708439897699,0.6640260950605779,"[[60, 9], [19, 15]]","[0, 1]",
rf_deeper,default,exports/exp01_s2temporal.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.7475728155339806,0.6474850809889173,0.6566666666666667,"[[65, 4], [22, 12]]","[0, 1]",
extra_trees,threshold_cv,exports/exp01_s2temporal.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.5922330097087378,0.6434356351236147,0.5903409090909091,"[[34, 35], [7, 27]]","[0, 1]",0.3
rf_balanced,threshold_cv,exports/exp01_s2temporal.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6310679611650486,0.6351236146632566,0.6150668764752164,"[[43, 26], [12, 22]]","[0, 1]",0.35
extra_trees_kbest,threshold_cv,exports/exp01_s2temporal.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.5631067961165048,0.6142369991474851,0.5616192187647782,"[[32, 37], [8, 26]]","[0, 1]",0.3
hist_gradient,default,exports/exp01_s2temporal.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6796116504854369,0.6042199488491049,0.6080940850916637,"[[57, 12], [21, 13]]","[0, 1]",
rf_balanced,default,exports/exp01_s2temporal.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.7087378640776699,0.5886615515771526,0.5801630434782609,"[[65, 4], [26, 8]]","[0, 1]",
extra_trees,default,exports/exp01_s2temporal.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6699029126213593,0.5522165387894288,0.5382383966244726,"[[62, 7], [27, 7]]","[0, 1]",
