model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,default,exports/exp01_s2temporal.csv,label_red_showy,leave_area_out,A1,319,36,"{0: 313, 1: 6}","{0: 33, 1: 3}",0.9166666666666666,0.5,0.4782608695652174,"[[33, 0], [3, 0]]","[0, 1]",
rf_balanced,threshold_cv,exports/exp01_s2temporal.csv,label_red_showy,leave_area_out,A1,319,36,"{0: 313, 1: 6}","{0: 33, 1: 3}",0.9166666666666666,0.5,0.4782608695652174,"[[33, 0], [3, 0]]","[0, 1]",0.25
rf_deeper,default,exports/exp01_s2temporal.csv,label_red_showy,leave_area_out,A1,319,36,"{0: 313, 1: 6}","{0: 33, 1: 3}",0.9166666666666666,0.5,0.4782608695652174,"[[33, 0], [3, 0]]","[0, 1]",
rf_deeper,threshold_cv,exports/exp01_s2temporal.csv,label_red_showy,leave_area_out,A1,319,36,"{0: 313, 1: 6}","{0: 33, 1: 3}",0.9166666666666666,0.5,0.4782608695652174,"[[33, 0], [3, 0]]","[0, 1]",0.4
extra_trees,default,exports/exp01_s2temporal.csv,label_red_showy,leave_area_out,A1,319,36,"{0: 313, 1: 6}","{0: 33, 1: 3}",0.9166666666666666,0.5,0.4782608695652174,"[[33, 0], [3, 0]]","[0, 1]",
extra_trees,threshold_cv,exports/exp01_s2temporal.csv,label_red_showy,leave_area_out,A1,319,36,"{0: 313, 1: 6}","{0: 33, 1: 3}",0.9166666666666666,0.5,0.4782608695652174,"[[33, 0], [3, 0]]","[0, 1]",0.25
extra_trees_kbest,default,exports/exp01_s2temporal.csv,label_red_showy,leave_area_out,A1,319,36,"{0: 313, 1: 6}","{0: 33, 1: 3}",0.9166666666666666,0.5,0.4782608695652174,"[[33, 0], [3, 0]]","[0, 1]",
logistic_l2,default,exports/exp01_s2temporal.csv,label_red_showy,leave_area_out,A1,319,36,"{0: 313, 1: 6}","{0: 33, 1: 3}",0.9166666666666666,0.5,0.4782608695652174,"[[33, 0], [3, 0]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp01_s2temporal.csv,label_red_showy,leave_area_out,A1,319,36,"{0: 313, 1: 6}","{0: 33, 1: 3}",0.9166666666666666,0.5,0.4782608695652174,"[[33, 0], [3, 0]]","[0, 1]",0.45
svc_rbf,default,exports/exp01_s2temporal.csv,label_red_showy,leave_area_out,A1,319,36,"{0: 313, 1: 6}","{0: 33, 1: 3}",0.9166666666666666,0.5,0.4782608695652174,"[[33, 0], [3, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/exp01_s2temporal.csv,label_red_showy,leave_area_out,A1,319,36,"{0: 313, 1: 6}","{0: 33, 1: 3}",0.9166666666666666,0.5,0.4782608695652174,"[[33, 0], [3, 0]]","[0, 1]",0.15
hist_gradient,default,exports/exp01_s2temporal.csv,label_red_showy,leave_area_out,A1,319,36,"{0: 313, 1: 6}","{0: 33, 1: 3}",0.9166666666666666,0.5,0.4782608695652174,"[[33, 0], [3, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp01_s2temporal.csv,label_red_showy,leave_area_out,A1,319,36,"{0: 313, 1: 6}","{0: 33, 1: 3}",0.9166666666666666,0.5,0.4782608695652174,"[[33, 0], [3, 0]]","[0, 1]",0.2
extra_trees_kbest,threshold_cv,exports/exp01_s2temporal.csv,label_red_showy,leave_area_out,A1,319,36,"{0: 313, 1: 6}","{0: 33, 1: 3}",0.8888888888888888,0.48484848484848486,0.47058823529411764,"[[32, 1], [3, 0]]","[0, 1]",0.1
