model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,threshold_cv,exports/exp01_s2temporal.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.6363636363636364,0.6333333333333333,0.6333333333333333,"[[4, 2], [2, 3]]","[0, 1]",0.1
svc_rbf,default,exports/exp01_s2temporal.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.6363636363636364,0.6,0.5416666666666666,"[[6, 0], [4, 1]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/exp01_s2temporal.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.55,0.5454545454545454,"[[3, 3], [2, 3]]","[0, 1]",0.15
rf_deeper,threshold_cv,exports/exp01_s2temporal.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5333333333333333,0.5299145299145299,"[[4, 2], [3, 2]]","[0, 1]",0.1
svc_rbf,threshold_cv,exports/exp01_s2temporal.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5333333333333333,0.5299145299145299,"[[4, 2], [3, 2]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/exp01_s2temporal.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5166666666666667,0.47619047619047616,"[[5, 1], [4, 1]]","[0, 1]",0.15
logistic_l2,default,exports/exp01_s2temporal.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5166666666666667,0.47619047619047616,"[[5, 1], [4, 1]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp01_s2temporal.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5166666666666667,0.47619047619047616,"[[5, 1], [4, 1]]","[0, 1]",0.1
rf_balanced,default,exports/exp01_s2temporal.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.35294117647058826,"[[6, 0], [5, 0]]","[0, 1]",
rf_deeper,default,exports/exp01_s2temporal.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.35294117647058826,"[[6, 0], [5, 0]]","[0, 1]",
extra_trees,default,exports/exp01_s2temporal.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.35294117647058826,"[[6, 0], [5, 0]]","[0, 1]",
extra_trees_kbest,default,exports/exp01_s2temporal.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.35294117647058826,"[[6, 0], [5, 0]]","[0, 1]",
hist_gradient,default,exports/exp01_s2temporal.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.35294117647058826,"[[6, 0], [5, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp01_s2temporal.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.35294117647058826,"[[6, 0], [5, 0]]","[0, 1]",0.1
