model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.5733333333333334,0.6920289855072463,0.47089947089947093,"[[38, 31], [1, 5]]","[0, 1]",0.2
hist_gradient,default,exports/exp01_s2temporal.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.6521739130434783,0.6785714285714286,"[[67, 2], [4, 2]]","[0, 1]",
extra_trees,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.64,0.6521739130434783,0.4968944099378882,"[[44, 25], [2, 4]]","[0, 1]",0.15
logistic_l2,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.64,0.6521739130434783,0.4968944099378882,"[[44, 25], [2, 4]]","[0, 1]",0.7
hist_gradient,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.7733333333333333,0.6485507246376812,0.563505648750428,"[[55, 14], [3, 3]]","[0, 1]",0.1
rf_balanced,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.32,0.6304347826086957,0.30213464696223313,"[[18, 51], [0, 6]]","[0, 1]",0.15
logistic_l2,default,exports/exp01_s2temporal.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.5733333333333334,0.6159420289855072,0.4545454545454546,"[[39, 30], [2, 4]]","[0, 1]",
rf_deeper,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.25333333333333335,0.5942028985507246,0.2467718794835007,"[[13, 56], [0, 6]]","[0, 1]",0.1
svc_rbf,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.25333333333333335,0.5942028985507246,0.2467718794835007,"[[13, 56], [0, 6]]","[0, 1]",0.1
rf_balanced,default,exports/exp01_s2temporal.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
rf_deeper,default,exports/exp01_s2temporal.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees,default,exports/exp01_s2temporal.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees_kbest,default,exports/exp01_s2temporal.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
svc_rbf,default,exports/exp01_s2temporal.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.9066666666666666,0.4927536231884058,0.4755244755244755,"[[68, 1], [6, 0]]","[0, 1]",
