model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,default,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 319, 1: 25}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
rf_balanced,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 319, 1: 25}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",0.1
rf_deeper,default,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 319, 1: 25}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
rf_deeper,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 319, 1: 25}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",0.1
extra_trees,default,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 319, 1: 25}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
extra_trees_kbest,default,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 319, 1: 25}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
svc_rbf,default,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 319, 1: 25}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 319, 1: 25}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",0.1
hist_gradient,default,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 319, 1: 25}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 319, 1: 25}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",0.1
logistic_l2,default,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 319, 1: 25}","{0: 9, 1: 2}",0.7272727272727273,0.4444444444444444,0.42105263157894735,"[[8, 1], [2, 0]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 319, 1: 25}","{0: 9, 1: 2}",0.7272727272727273,0.4444444444444444,0.42105263157894735,"[[8, 1], [2, 0]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 319, 1: 25}","{0: 9, 1: 2}",0.6363636363636364,0.3888888888888889,0.3888888888888889,"[[7, 2], [2, 0]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 319, 1: 25}","{0: 9, 1: 2}",0.6363636363636364,0.3888888888888889,0.3888888888888889,"[[7, 2], [2, 0]]","[0, 1]",0.15
