model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.7733333333333333,0.7857142857142858,0.592,"[[54, 16], [1, 4]]","[0, 1]",0.15
rf_deeper,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.88,0.6571428571428571,0.6209994385176867,"[[64, 6], [3, 2]]","[0, 1]",0.15
extra_trees,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.84,0.6357142857142857,0.5802238805970149,"[[61, 9], [3, 2]]","[0, 1]",0.15
rf_balanced,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.48,0.6285714285714286,0.3957859946292088,"[[32, 38], [1, 4]]","[0, 1]",0.1
svc_rbf,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.9066666666666666,0.5785714285714286,0.5862884160756501,"[[67, 3], [4, 1]]","[0, 1]",0.1
logistic_l2,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.5066666666666667,0.55,0.39687024559878287,"[[35, 35], [2, 3]]","[0, 1]",0.1
rf_balanced,default,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
rf_deeper,default,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
extra_trees,default,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
extra_trees_kbest,default,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
hist_gradient,default,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",0.15
svc_rbf,default,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.92,0.4928571428571429,0.4791666666666667,"[[69, 1], [5, 0]]","[0, 1]",
logistic_l2,default,exports/exp01_s2temporal.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.72,0.47857142857142854,0.4608010955152345,"[[53, 17], [4, 1]]","[0, 1]",
