model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.6448598130841121,0.7506313131313131,0.5173314339981007,"[[62, 37], [1, 7]]","[0, 1]",0.1
rf_balanced,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8130841121495327,0.7266414141414141,0.6123188405797101,"[[82, 17], [3, 5]]","[0, 1]",0.15
rf_deeper,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.7289719626168224,0.6811868686868687,0.5453479853479853,"[[73, 26], [3, 5]]","[0, 1]",0.1
svc_rbf,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.7663551401869159,0.6439393939393939,0.5521513477314582,"[[78, 21], [4, 4]]","[0, 1]",0.1
svc_rbf,default,exports/exp01_s2temporal.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8598130841121495,0.6369949494949495,0.6039970392301999,"[[89, 10], [5, 3]]","[0, 1]",
extra_trees,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.719626168224299,0.6186868686868687,0.5200358851674641,"[[73, 26], [4, 4]]","[0, 1]",0.1
logistic_l2,default,exports/exp01_s2temporal.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8504672897196262,0.5744949494949495,0.5587628865979382,"[[89, 10], [6, 2]]","[0, 1]",
rf_deeper,default,exports/exp01_s2temporal.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.9065420560747663,0.5473484848484849,0.5585808580858086,"[[96, 3], [7, 1]]","[0, 1]",
rf_balanced,default,exports/exp01_s2temporal.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.897196261682243,0.5422979797979798,0.549559892843475,"[[95, 4], [7, 1]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8878504672897196,0.5372474747474747,0.5414285714285714,"[[94, 5], [7, 1]]","[0, 1]",0.8
logistic_l2,threshold_cv,exports/exp01_s2temporal.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.7757009345794392,0.5340909090909092,0.5069124423963134,"[[81, 18], [6, 2]]","[0, 1]",0.15
extra_trees,default,exports/exp01_s2temporal.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8785046728971962,0.5321969696969697,0.5340033500837521,"[[93, 6], [7, 1]]","[0, 1]",
hist_gradient,default,exports/exp01_s2temporal.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8785046728971962,0.5321969696969697,0.5340033500837521,"[[93, 6], [7, 1]]","[0, 1]",
extra_trees_kbest,default,exports/exp01_s2temporal.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8691588785046729,0.5271464646464646,0.5271464646464646,"[[92, 7], [7, 1]]","[0, 1]",
