model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
hist_gradient,threshold_cv,exports/exp_all3.csv,label_deciduous,leave_area_out,A4,301,41,"{0: 202, 1: 99}","{0: 25, 1: 16}",0.5121951219512195,0.5775,0.49754901960784315,"[[7, 18], [2, 14]]","[0, 1]",0.1
extra_trees_kbest,default,exports/exp_all3.csv,label_deciduous,leave_area_out,A4,301,41,"{0: 202, 1: 99}","{0: 25, 1: 16}",0.5853658536585366,0.5700000000000001,0.5689548546691403,"[[16, 9], [8, 8]]","[0, 1]",
rf_balanced,default,exports/exp_all3.csv,label_deciduous,leave_area_out,A4,301,41,"{0: 202, 1: 99}","{0: 25, 1: 16}",0.6097560975609756,0.5225,0.47096774193548385,"[[23, 2], [14, 2]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/exp_all3.csv,label_deciduous,leave_area_out,A4,301,41,"{0: 202, 1: 99}","{0: 25, 1: 16}",0.4146341463414634,0.50875,0.3492063492063492,"[[2, 23], [1, 15]]","[0, 1]",0.35
hist_gradient,default,exports/exp_all3.csv,label_deciduous,leave_area_out,A4,301,41,"{0: 202, 1: 99}","{0: 25, 1: 16}",0.5365853658536586,0.5075000000000001,0.5072738772928527,"[[16, 9], [10, 6]]","[0, 1]",
extra_trees,default,exports/exp_all3.csv,label_deciduous,leave_area_out,A4,301,41,"{0: 202, 1: 99}","{0: 25, 1: 16}",0.5609756097560976,0.49375,0.4698275862068966,"[[20, 5], [13, 3]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp_all3.csv,label_deciduous,leave_area_out,A4,301,41,"{0: 202, 1: 99}","{0: 25, 1: 16}",0.4146341463414634,0.48625,0.385,"[[4, 21], [3, 13]]","[0, 1]",0.25
logistic_l2,default,exports/exp_all3.csv,label_deciduous,leave_area_out,A4,301,41,"{0: 202, 1: 99}","{0: 25, 1: 16}",0.43902439024390244,0.48375,0.4336336336336336,"[[7, 18], [5, 11]]","[0, 1]",
rf_deeper,default,exports/exp_all3.csv,label_deciduous,leave_area_out,A4,301,41,"{0: 202, 1: 99}","{0: 25, 1: 16}",0.5609756097560976,0.4825,0.4409090909090909,"[[21, 4], [14, 2]]","[0, 1]",
svc_rbf,default,exports/exp_all3.csv,label_deciduous,leave_area_out,A4,301,41,"{0: 202, 1: 99}","{0: 25, 1: 16}",0.3902439024390244,0.4775,0.3331164606376057,"[[2, 23], [2, 14]]","[0, 1]",
svc_rbf,threshold_cv,exports/exp_all3.csv,label_deciduous,leave_area_out,A4,301,41,"{0: 202, 1: 99}","{0: 25, 1: 16}",0.3902439024390244,0.4775,0.3331164606376057,"[[2, 23], [2, 14]]","[0, 1]",0.3
extra_trees,threshold_cv,exports/exp_all3.csv,label_deciduous,leave_area_out,A4,301,41,"{0: 202, 1: 99}","{0: 25, 1: 16}",0.36585365853658536,0.46875,0.26785714285714285,"[[0, 25], [1, 15]]","[0, 1]",0.3
rf_deeper,threshold_cv,exports/exp_all3.csv,label_deciduous,leave_area_out,A4,301,41,"{0: 202, 1: 99}","{0: 25, 1: 16}",0.3902439024390244,0.46625,0.35167615433270083,"[[3, 22], [3, 13]]","[0, 1]",0.3
rf_balanced,threshold_cv,exports/exp_all3.csv,label_deciduous,leave_area_out,A4,301,41,"{0: 202, 1: 99}","{0: 25, 1: 16}",0.34146341463414637,0.42625,0.2797657774886142,"[[1, 24], [3, 13]]","[0, 1]",0.35
