model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,threshold_cv,exports/exp_all3.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8666666666666667,0.6960227272727273,0.7115384615384616,"[[60, 4], [6, 5]]","[0, 1]",0.3
rf_balanced,threshold_cv,exports/exp_all3.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.72,0.6100852272727273,0.573055028462998,"[[49, 15], [6, 5]]","[0, 1]",0.2
rf_deeper,threshold_cv,exports/exp_all3.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.5733333333333334,0.5994318181818181,0.4983277591973244,"[[36, 28], [4, 7]]","[0, 1]",0.15
svc_rbf,default,exports/exp_all3.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.88,0.5909090909090909,0.6209994385176867,"[[64, 0], [9, 2]]","[0, 1]",
extra_trees,threshold_cv,exports/exp_all3.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8266666666666667,0.5596590909090909,0.5687748783724016,"[[60, 4], [9, 2]]","[0, 1]",0.3
svc_rbf,threshold_cv,exports/exp_all3.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8266666666666667,0.5596590909090909,0.5687748783724016,"[[60, 4], [9, 2]]","[0, 1]",0.2
rf_deeper,default,exports/exp_all3.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8666666666666667,0.5454545454545454,0.5471014492753623,"[[64, 0], [10, 1]]","[0, 1]",
extra_trees,default,exports/exp_all3.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8666666666666667,0.5454545454545454,0.5471014492753623,"[[64, 0], [10, 1]]","[0, 1]",
hist_gradient,default,exports/exp_all3.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8666666666666667,0.5454545454545454,0.5471014492753623,"[[64, 0], [10, 1]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp_all3.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.7866666666666666,0.5362215909090909,0.5384615384615384,"[[57, 7], [9, 2]]","[0, 1]",0.1
rf_balanced,default,exports/exp_all3.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8533333333333334,0.5,0.460431654676259,"[[64, 0], [11, 0]]","[0, 1]",
extra_trees_kbest,default,exports/exp_all3.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8533333333333334,0.5,0.460431654676259,"[[64, 0], [11, 0]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp_all3.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.41333333333333333,0.4680397727272727,0.3731003039513678,"[[25, 39], [5, 6]]","[0, 1]",0.1
logistic_l2,default,exports/exp_all3.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.5866666666666667,0.45667613636363635,0.44391293948816074,"[[41, 23], [8, 3]]","[0, 1]",
