model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_deeper,threshold_cv,exports/exp_all3.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7383177570093458,0.6964712918660287,0.644349477682811,"[[67, 21], [7, 12]]","[0, 1]",0.2
extra_trees,threshold_cv,exports/exp_all3.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.6728971962616822,0.6773325358851674,0.5987356691310404,"[[59, 29], [6, 13]]","[0, 1]",0.2
extra_trees_kbest,threshold_cv,exports/exp_all3.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.6261682242990654,0.6695574162679425,0.5688960515713135,"[[53, 35], [5, 14]]","[0, 1]",0.2
svc_rbf,threshold_cv,exports/exp_all3.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7009345794392523,0.65311004784689,0.6037037037037037,"[[64, 24], [8, 11]]","[0, 1]",0.2
logistic_l2,threshold_cv,exports/exp_all3.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7663551401869159,0.6516148325358851,0.636202910376717,"[[73, 15], [10, 9]]","[0, 1]",0.25
rf_balanced,threshold_cv,exports/exp_all3.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.6728971962616822,0.6360645933014355,0.5815174879874847,"[[61, 27], [8, 11]]","[0, 1]",0.2
svc_rbf,default,exports/exp_all3.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7289719626168224,0.6082535885167464,0.5919789612097305,"[[70, 18], [11, 8]]","[0, 1]",
logistic_l2,default,exports/exp_all3.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7570093457943925,0.6046650717703349,0.600287356321839,"[[74, 14], [12, 7]]","[0, 1]",
extra_trees_kbest,default,exports/exp_all3.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7850467289719626,0.5391746411483254,0.5412861136999069,"[[81, 7], [16, 3]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp_all3.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7289719626168224,0.5257177033492824,0.5261872041533058,"[[74, 14], [15, 4]]","[0, 1]",0.1
hist_gradient,default,exports/exp_all3.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7757009345794392,0.5128588516746411,0.5069124423963134,"[[81, 7], [17, 2]]","[0, 1]",
extra_trees,default,exports/exp_all3.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.794392523364486,0.5035885167464115,0.4837719298245614,"[[84, 4], [18, 1]]","[0, 1]",
rf_balanced,default,exports/exp_all3.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.8130841121495327,0.4943181818181818,0.4484536082474227,"[[87, 1], [19, 0]]","[0, 1]",
rf_deeper,default,exports/exp_all3.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.8130841121495327,0.4943181818181818,0.4484536082474227,"[[87, 1], [19, 0]]","[0, 1]",
