model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,threshold_cv,exports/exp_all3.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.7222222222222222,0.5963636363636364,0.5982142857142857,"[[23, 2], [8, 3]]","[0, 1]",0.25
extra_trees_kbest,threshold_cv,exports/exp_all3.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.7222222222222222,0.5709090909090909,0.5566502463054187,"[[24, 1], [9, 2]]","[0, 1]",0.45
logistic_l2,default,exports/exp_all3.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6666666666666666,0.5563636363636364,0.5555555555555556,"[[21, 4], [8, 3]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp_all3.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6111111111111112,0.5418181818181818,0.5418181818181818,"[[18, 7], [7, 4]]","[0, 1]",0.2
extra_trees_kbest,default,exports/exp_all3.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5254545454545454,0.4837027379400261,"[[24, 1], [10, 1]]","[0, 1]",
hist_gradient,default,exports/exp_all3.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5254545454545454,0.4837027379400261,"[[24, 1], [10, 1]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp_all3.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5254545454545454,0.4837027379400261,"[[24, 1], [10, 1]]","[0, 1]",0.25
rf_balanced,default,exports/exp_all3.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
rf_deeper,default,exports/exp_all3.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
extra_trees,default,exports/exp_all3.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
svc_rbf,default,exports/exp_all3.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/exp_all3.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",0.3
extra_trees,threshold_cv,exports/exp_all3.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6666666666666666,0.48,0.4,"[[24, 1], [11, 0]]","[0, 1]",0.3
rf_deeper,threshold_cv,exports/exp_all3.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.5833333333333334,0.47090909090909094,0.46375372393247266,"[[19, 6], [9, 2]]","[0, 1]",0.25
