model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,exports/exp_all3.csv,label_yellow_broad,leave_area_out,SV_S1,324,31,"{0: 245, 1: 79}","{0: 10, 1: 21}",0.7419354838709677,0.7309523809523809,0.7181818181818183,"[[7, 3], [5, 16]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp_all3.csv,label_yellow_broad,leave_area_out,SV_S1,324,31,"{0: 245, 1: 79}","{0: 10, 1: 21}",0.7419354838709677,0.7309523809523809,0.7181818181818183,"[[7, 3], [5, 16]]","[0, 1]",0.45
hist_gradient,threshold_cv,exports/exp_all3.csv,label_yellow_broad,leave_area_out,SV_S1,324,31,"{0: 245, 1: 79}","{0: 10, 1: 21}",0.7741935483870968,0.7285714285714285,0.7343941248470012,"[[6, 4], [3, 18]]","[0, 1]",0.1
svc_rbf,default,exports/exp_all3.csv,label_yellow_broad,leave_area_out,SV_S1,324,31,"{0: 245, 1: 79}","{0: 10, 1: 21}",0.6774193548387096,0.7095238095238096,0.6688034188034189,"[[8, 2], [8, 13]]","[0, 1]",
hist_gradient,default,exports/exp_all3.csv,label_yellow_broad,leave_area_out,SV_S1,324,31,"{0: 245, 1: 79}","{0: 10, 1: 21}",0.7096774193548387,0.7071428571428571,0.6889632107023411,"[[7, 3], [6, 15]]","[0, 1]",
extra_trees,threshold_cv,exports/exp_all3.csv,label_yellow_broad,leave_area_out,SV_S1,324,31,"{0: 245, 1: 79}","{0: 10, 1: 21}",0.6774193548387096,0.6833333333333333,0.6600877192982456,"[[7, 3], [7, 14]]","[0, 1]",0.45
extra_trees_kbest,threshold_cv,exports/exp_all3.csv,label_yellow_broad,leave_area_out,SV_S1,324,31,"{0: 245, 1: 79}","{0: 10, 1: 21}",0.6774193548387096,0.6833333333333333,0.6600877192982456,"[[7, 3], [7, 14]]","[0, 1]",0.45
rf_deeper,default,exports/exp_all3.csv,label_yellow_broad,leave_area_out,SV_S1,324,31,"{0: 245, 1: 79}","{0: 10, 1: 21}",0.6451612903225806,0.6595238095238095,0.6313513513513513,"[[7, 3], [8, 13]]","[0, 1]",
extra_trees_kbest,default,exports/exp_all3.csv,label_yellow_broad,leave_area_out,SV_S1,324,31,"{0: 245, 1: 79}","{0: 10, 1: 21}",0.6451612903225806,0.6595238095238095,0.6313513513513513,"[[7, 3], [8, 13]]","[0, 1]",
extra_trees,default,exports/exp_all3.csv,label_yellow_broad,leave_area_out,SV_S1,324,31,"{0: 245, 1: 79}","{0: 10, 1: 21}",0.5161290322580645,0.5904761904761905,0.5161290322580645,"[[8, 2], [13, 8]]","[0, 1]",
rf_balanced,default,exports/exp_all3.csv,label_yellow_broad,leave_area_out,SV_S1,324,31,"{0: 245, 1: 79}","{0: 10, 1: 21}",0.5483870967741935,0.588095238095238,0.5441176470588236,"[[7, 3], [11, 10]]","[0, 1]",
rf_deeper,threshold_cv,exports/exp_all3.csv,label_yellow_broad,leave_area_out,SV_S1,324,31,"{0: 245, 1: 79}","{0: 10, 1: 21}",0.7096774193548387,0.5761904761904761,0.5620094191522763,"[[2, 8], [1, 20]]","[0, 1]",0.2
svc_rbf,threshold_cv,exports/exp_all3.csv,label_yellow_broad,leave_area_out,SV_S1,324,31,"{0: 245, 1: 79}","{0: 10, 1: 21}",0.3870967741935484,0.5214285714285715,0.36324324324324325,"[[9, 1], [18, 3]]","[0, 1]",0.6
rf_balanced,threshold_cv,exports/exp_all3.csv,label_yellow_broad,leave_area_out,SV_S1,324,31,"{0: 245, 1: 79}","{0: 10, 1: 21}",0.6774193548387096,0.5,0.40384615384615385,"[[0, 10], [0, 21]]","[0, 1]",0.2
