model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,threshold_cv,exports/exp_all3.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8691588785046729,0.8480519480519481,0.841044142614601,"[[69, 8], [6, 24]]","[0, 1]",0.3
rf_balanced,threshold_cv,exports/exp_all3.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.822429906542056,0.8155844155844156,0.7935831048837445,"[[64, 13], [6, 24]]","[0, 1]",0.3
rf_deeper,threshold_cv,exports/exp_all3.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8504672897196262,0.8147186147186147,0.8147186147186147,"[[69, 8], [8, 22]]","[0, 1]",0.35
svc_rbf,default,exports/exp_all3.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8411214953271028,0.7878787878787878,0.7967370655939211,"[[70, 7], [10, 20]]","[0, 1]",
extra_trees,threshold_cv,exports/exp_all3.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8037383177570093,0.7822510822510822,0.7679917398038203,"[[64, 13], [8, 22]]","[0, 1]",0.3
hist_gradient,threshold_cv,exports/exp_all3.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.822429906542056,0.7748917748917749,0.7776927282668125,"[[68, 9], [10, 20]]","[0, 1]",0.3
extra_trees_kbest,default,exports/exp_all3.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8504672897196262,0.7740259740259741,0.7967711301044634,"[[73, 4], [12, 18]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/exp_all3.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8504672897196262,0.7740259740259741,0.7967711301044634,"[[73, 4], [12, 18]]","[0, 1]",0.5
hist_gradient,default,exports/exp_all3.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8317757009345794,0.7712121212121212,0.7823236889692586,"[[70, 7], [11, 19]]","[0, 1]",
rf_deeper,default,exports/exp_all3.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8504672897196262,0.7638528138528138,0.791219512195122,"[[74, 3], [13, 17]]","[0, 1]",
extra_trees,default,exports/exp_all3.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8598130841121495,0.7601731601731602,0.795515352274175,"[[76, 1], [14, 16]]","[0, 1]",
rf_balanced,default,exports/exp_all3.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8411214953271028,0.7471861471861472,0.7750154607297464,"[[74, 3], [14, 16]]","[0, 1]",
logistic_l2,default,exports/exp_all3.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.794392523364486,0.735064935064935,0.7398320070733864,"[[67, 10], [12, 18]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp_all3.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.794392523364486,0.735064935064935,0.7398320070733864,"[[67, 10], [12, 18]]","[0, 1]",0.6
