model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,exports/exp_all3.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6111111111111112,0.5163636363636364,0.5153846153846153,"[[19, 6], [8, 3]]","[0, 1]",0.1
logistic_l2,default,exports/exp_all3.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6388888888888888,0.5109090909090909,0.49946524064171127,"[[21, 4], [9, 2]]","[0, 1]",
rf_balanced,default,exports/exp_all3.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
rf_deeper,default,exports/exp_all3.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
extra_trees,default,exports/exp_all3.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
svc_rbf,default,exports/exp_all3.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
hist_gradient,default,exports/exp_all3.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp_all3.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6666666666666666,0.48,0.4,"[[24, 1], [11, 0]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,exports/exp_all3.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.5555555555555556,0.4763636363636364,0.4763636363636364,"[[17, 8], [8, 3]]","[0, 1]",0.15
extra_trees_kbest,default,exports/exp_all3.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6388888888888888,0.46,0.3898305084745763,"[[23, 2], [11, 0]]","[0, 1]",
extra_trees,threshold_cv,exports/exp_all3.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.5833333333333334,0.42,0.3684210526315789,"[[21, 4], [11, 0]]","[0, 1]",0.15
svc_rbf,threshold_cv,exports/exp_all3.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.5833333333333334,0.42,0.3684210526315789,"[[21, 4], [11, 0]]","[0, 1]",0.1
rf_balanced,threshold_cv,exports/exp_all3.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.4444444444444444,0.39636363636363636,0.39799331103678925,"[[13, 12], [8, 3]]","[0, 1]",0.1
rf_deeper,threshold_cv,exports/exp_all3.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.3888888888888889,0.38181818181818183,0.37142857142857144,"[[10, 15], [7, 4]]","[0, 1]",0.1
