model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_deeper,default,exports/exp_gee_dino.csv,label_acacia,leave_area_out,SV_S2,357,18,"{0: 301, 1: 56}","{0: 9, 1: 9}",0.5555555555555556,0.5555555555555556,0.55,"[[6, 3], [5, 4]]","[0, 1]",
svc_rbf,default,exports/exp_gee_dino.csv,label_acacia,leave_area_out,SV_S2,357,18,"{0: 301, 1: 56}","{0: 9, 1: 9}",0.5555555555555556,0.5555555555555556,0.4461538461538461,"[[1, 8], [0, 9]]","[0, 1]",
svc_rbf,threshold_cv,exports/exp_gee_dino.csv,label_acacia,leave_area_out,SV_S2,357,18,"{0: 301, 1: 56}","{0: 9, 1: 9}",0.5555555555555556,0.5555555555555556,0.4461538461538461,"[[1, 8], [0, 9]]","[0, 1]",0.15
rf_balanced,default,exports/exp_gee_dino.csv,label_acacia,leave_area_out,SV_S2,357,18,"{0: 301, 1: 56}","{0: 9, 1: 9}",0.5,0.5,0.4109090909090909,"[[8, 1], [8, 1]]","[0, 1]",
extra_trees_kbest,default,exports/exp_gee_dino.csv,label_acacia,leave_area_out,SV_S2,357,18,"{0: 301, 1: 56}","{0: 9, 1: 9}",0.5,0.5,0.4109090909090909,"[[1, 8], [1, 8]]","[0, 1]",
rf_balanced,threshold_cv,exports/exp_gee_dino.csv,label_acacia,leave_area_out,SV_S2,357,18,"{0: 301, 1: 56}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,"[[0, 9], [0, 9]]","[0, 1]",0.1
rf_deeper,threshold_cv,exports/exp_gee_dino.csv,label_acacia,leave_area_out,SV_S2,357,18,"{0: 301, 1: 56}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,"[[0, 9], [0, 9]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/exp_gee_dino.csv,label_acacia,leave_area_out,SV_S2,357,18,"{0: 301, 1: 56}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,"[[0, 9], [0, 9]]","[0, 1]",0.2
extra_trees_kbest,threshold_cv,exports/exp_gee_dino.csv,label_acacia,leave_area_out,SV_S2,357,18,"{0: 301, 1: 56}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,"[[0, 9], [0, 9]]","[0, 1]",0.15
logistic_l2,default,exports/exp_gee_dino.csv,label_acacia,leave_area_out,SV_S2,357,18,"{0: 301, 1: 56}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,"[[0, 9], [0, 9]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp_gee_dino.csv,label_acacia,leave_area_out,SV_S2,357,18,"{0: 301, 1: 56}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,"[[0, 9], [0, 9]]","[0, 1]",0.25
hist_gradient,default,exports/exp_gee_dino.csv,label_acacia,leave_area_out,SV_S2,357,18,"{0: 301, 1: 56}","{0: 9, 1: 9}",0.4444444444444444,0.4444444444444444,0.4444444444444444,"[[4, 5], [5, 4]]","[0, 1]",
extra_trees,default,exports/exp_gee_dino.csv,label_acacia,leave_area_out,SV_S2,357,18,"{0: 301, 1: 56}","{0: 9, 1: 9}",0.3888888888888889,0.38888888888888884,0.38699690402476783,"[[4, 5], [6, 3]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp_gee_dino.csv,label_acacia,leave_area_out,SV_S2,357,18,"{0: 301, 1: 56}","{0: 9, 1: 9}",0.3888888888888889,0.38888888888888884,0.3377926421404682,"[[1, 8], [3, 6]]","[0, 1]",0.1
