model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,threshold_cv,exports/exp_gee_dino.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.8878504672897196,0.5813106796116505,0.5414285714285714,"[[94, 9], [3, 1]]","[0, 1]",0.1
rf_balanced,default,exports/exp_gee_dino.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9626168224299065,0.5,0.49047619047619045,"[[103, 0], [4, 0]]","[0, 1]",
rf_deeper,default,exports/exp_gee_dino.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9626168224299065,0.5,0.49047619047619045,"[[103, 0], [4, 0]]","[0, 1]",
extra_trees,default,exports/exp_gee_dino.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9626168224299065,0.5,0.49047619047619045,"[[103, 0], [4, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/exp_gee_dino.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9626168224299065,0.5,0.49047619047619045,"[[103, 0], [4, 0]]","[0, 1]",0.75
extra_trees_kbest,default,exports/exp_gee_dino.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9532710280373832,0.49514563106796117,0.4880382775119617,"[[102, 1], [4, 0]]","[0, 1]",
hist_gradient,default,exports/exp_gee_dino.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9532710280373832,0.49514563106796117,0.4880382775119617,"[[102, 1], [4, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp_gee_dino.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9532710280373832,0.49514563106796117,0.4880382775119617,"[[102, 1], [4, 0]]","[0, 1]",0.5
svc_rbf,default,exports/exp_gee_dino.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9439252336448598,0.49029126213592233,0.4855769230769231,"[[101, 2], [4, 0]]","[0, 1]",
logistic_l2,default,exports/exp_gee_dino.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9252336448598131,0.48058252427184467,0.48058252427184467,"[[99, 4], [4, 0]]","[0, 1]",
rf_deeper,threshold_cv,exports/exp_gee_dino.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.8878504672897196,0.46116504854368934,0.47029702970297027,"[[95, 8], [4, 0]]","[0, 1]",0.1
logistic_l2,threshold_cv,exports/exp_gee_dino.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.8598130841121495,0.44660194174757284,0.4623115577889447,"[[92, 11], [4, 0]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,exports/exp_gee_dino.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.8411214953271028,0.4368932038834951,0.45685279187817257,"[[90, 13], [4, 0]]","[0, 1]",0.15
extra_trees,threshold_cv,exports/exp_gee_dino.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.8317757009345794,0.4320388349514563,0.45408163265306123,"[[89, 14], [4, 0]]","[0, 1]",0.1
