model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,default,exports/exp_s2temporal.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.7222222222222222,0.7222222222222222,0.7213622291021672,"[[6, 3], [2, 7]]","[0, 1]",
logistic_l2,default,exports/exp_s2temporal.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.6666666666666666,0.6666666666666667,0.6625,"[[5, 4], [2, 7]]","[0, 1]",
extra_trees,default,exports/exp_s2temporal.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.6666666666666666,0.6666666666666666,0.6666666666666666,"[[6, 3], [3, 6]]","[0, 1]",
svc_rbf,threshold_cv,exports/exp_s2temporal.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.6666666666666666,0.6666666666666666,0.6666666666666666,"[[6, 3], [3, 6]]","[0, 1]",0.25
hist_gradient,threshold_cv,exports/exp_s2temporal.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.6666666666666666,0.6666666666666666,0.6666666666666666,"[[6, 3], [3, 6]]","[0, 1]",0.1
rf_balanced,threshold_cv,exports/exp_s2temporal.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.6666666666666666,0.6666666666666666,0.625,"[[3, 6], [0, 9]]","[0, 1]",0.15
rf_deeper,threshold_cv,exports/exp_s2temporal.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.6666666666666666,0.6666666666666666,0.625,"[[3, 6], [0, 9]]","[0, 1]",0.1
rf_balanced,default,exports/exp_s2temporal.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.6111111111111112,0.6111111111111112,0.609907120743034,"[[6, 3], [4, 5]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp_s2temporal.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.6111111111111112,0.6111111111111112,0.6,"[[4, 5], [2, 7]]","[0, 1]",0.1
hist_gradient,default,exports/exp_s2temporal.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.5555555555555556,0.5555555555555556,0.55,"[[6, 3], [5, 4]]","[0, 1]",
extra_trees,threshold_cv,exports/exp_s2temporal.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.5555555555555556,0.5555555555555556,0.4461538461538461,"[[1, 8], [0, 9]]","[0, 1]",0.2
rf_deeper,default,exports/exp_s2temporal.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.5,0.5,0.4109090909090909,"[[8, 1], [8, 1]]","[0, 1]",
extra_trees_kbest,default,exports/exp_s2temporal.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.4444444444444444,0.4444444444444444,0.41558441558441556,"[[2, 7], [3, 6]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/exp_s2temporal.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.4444444444444444,0.4444444444444444,0.3076923076923077,"[[0, 9], [1, 8]]","[0, 1]",0.1
