model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,threshold_cv,exports/exp_s2temporal.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.7757009345794392,0.6432038834951457,0.5069124423963134,"[[81, 22], [2, 2]]","[0, 1]",0.1
logistic_l2,threshold_cv,exports/exp_s2temporal.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.8878504672897196,0.5813106796116505,0.5414285714285714,"[[94, 9], [3, 1]]","[0, 1]",0.2
extra_trees,threshold_cv,exports/exp_s2temporal.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.8598130841121495,0.566747572815534,0.520752463421917,"[[91, 12], [3, 1]]","[0, 1]",0.1
rf_balanced,default,exports/exp_s2temporal.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9626168224299065,0.5,0.49047619047619045,"[[103, 0], [4, 0]]","[0, 1]",
rf_deeper,default,exports/exp_s2temporal.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9626168224299065,0.5,0.49047619047619045,"[[103, 0], [4, 0]]","[0, 1]",
extra_trees,default,exports/exp_s2temporal.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9626168224299065,0.5,0.49047619047619045,"[[103, 0], [4, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/exp_s2temporal.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9626168224299065,0.5,0.49047619047619045,"[[103, 0], [4, 0]]","[0, 1]",0.3
hist_gradient,default,exports/exp_s2temporal.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9626168224299065,0.5,0.49047619047619045,"[[103, 0], [4, 0]]","[0, 1]",
extra_trees_kbest,default,exports/exp_s2temporal.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9532710280373832,0.49514563106796117,0.4880382775119617,"[[102, 1], [4, 0]]","[0, 1]",
svc_rbf,default,exports/exp_s2temporal.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9532710280373832,0.49514563106796117,0.4880382775119617,"[[102, 1], [4, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp_s2temporal.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9439252336448598,0.49029126213592233,0.4855769230769231,"[[101, 2], [4, 0]]","[0, 1]",0.25
rf_deeper,threshold_cv,exports/exp_s2temporal.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9345794392523364,0.4854368932038835,0.4830917874396135,"[[100, 3], [4, 0]]","[0, 1]",0.15
rf_balanced,threshold_cv,exports/exp_s2temporal.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9158878504672897,0.47572815533980584,0.47804878048780486,"[[98, 5], [4, 0]]","[0, 1]",0.15
logistic_l2,default,exports/exp_s2temporal.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9158878504672897,0.47572815533980584,0.47804878048780486,"[[98, 5], [4, 0]]","[0, 1]",
