model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,threshold_cv,exports/exp_s2temporal.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8666666666666667,0.7336647727272727,0.7336647727272727,"[[59, 5], [5, 6]]","[0, 1]",0.35
hist_gradient,threshold_cv,exports/exp_s2temporal.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8266666666666667,0.7102272727272727,0.688,"[[56, 8], [5, 6]]","[0, 1]",0.1
hist_gradient,default,exports/exp_s2temporal.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8666666666666667,0.6207386363636364,0.6501865671641791,"[[62, 2], [8, 3]]","[0, 1]",
extra_trees_kbest,default,exports/exp_s2temporal.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8533333333333334,0.5752840909090909,0.5925925925925926,"[[62, 2], [9, 2]]","[0, 1]",
rf_balanced,default,exports/exp_s2temporal.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8666666666666667,0.5454545454545454,0.5471014492753623,"[[64, 0], [10, 1]]","[0, 1]",
rf_deeper,default,exports/exp_s2temporal.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8666666666666667,0.5454545454545454,0.5471014492753623,"[[64, 0], [10, 1]]","[0, 1]",
extra_trees,default,exports/exp_s2temporal.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8666666666666667,0.5454545454545454,0.5471014492753623,"[[64, 0], [10, 1]]","[0, 1]",
svc_rbf,threshold_cv,exports/exp_s2temporal.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.64,0.5255681818181819,0.4968944099378882,"[[44, 20], [7, 4]]","[0, 1]",0.2
logistic_l2,threshold_cv,exports/exp_s2temporal.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.25333333333333335,0.5248579545454546,0.2532005689900427,"[[9, 55], [1, 10]]","[0, 1]",0.25
rf_deeper,threshold_cv,exports/exp_s2temporal.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.36,0.5120738636363636,0.34593023255813954,"[[19, 45], [3, 8]]","[0, 1]",0.1
rf_balanced,threshold_cv,exports/exp_s2temporal.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.22666666666666666,0.5092329545454546,0.2254273504273504,"[[7, 57], [1, 10]]","[0, 1]",0.15
extra_trees,threshold_cv,exports/exp_s2temporal.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.14666666666666667,0.5,0.12790697674418605,"[[0, 64], [0, 11]]","[0, 1]",0.1
svc_rbf,default,exports/exp_s2temporal.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.6533333333333333,0.49573863636363635,0.4835805084745763,"[[46, 18], [8, 3]]","[0, 1]",
logistic_l2,default,exports/exp_s2temporal.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.30666666666666664,0.48082386363636365,0.30057388809182206,"[[15, 49], [3, 8]]","[0, 1]",
