model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_deeper,threshold_cv,exports/exp_s2temporal.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8504672897196262,0.8248917748917749,0.8183361629881154,"[[68, 9], [7, 23]]","[0, 1]",0.3
rf_balanced,threshold_cv,exports/exp_s2temporal.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8691588785046729,0.8175324675324676,0.8306962025316456,"[[72, 5], [9, 21]]","[0, 1]",0.35
extra_trees_kbest,default,exports/exp_s2temporal.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8598130841121495,0.7906926406926407,0.8119067151060588,"[[73, 4], [11, 19]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/exp_s2temporal.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8598130841121495,0.7906926406926407,0.8119067151060588,"[[73, 4], [11, 19]]","[0, 1]",0.45
svc_rbf,default,exports/exp_s2temporal.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8598130841121495,0.7805194805194805,0.8069289065319379,"[[74, 3], [12, 18]]","[0, 1]",
hist_gradient,default,exports/exp_s2temporal.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8598130841121495,0.7805194805194805,0.8069289065319379,"[[74, 3], [12, 18]]","[0, 1]",
extra_trees,default,exports/exp_s2temporal.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8691588785046729,0.7768398268398269,0.8119979919678715,"[[76, 1], [13, 17]]","[0, 1]",
logistic_l2,default,exports/exp_s2temporal.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.794392523364486,0.7757575757575758,0.7590090090090089,"[[63, 14], [8, 22]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp_s2temporal.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.7663551401869159,0.7664502164502165,0.7365310745592436,"[[59, 18], [7, 23]]","[0, 1]",0.35
hist_gradient,threshold_cv,exports/exp_s2temporal.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8037383177570093,0.7619047619047619,0.7592414014786242,"[[66, 11], [10, 20]]","[0, 1]",0.15
svc_rbf,threshold_cv,exports/exp_s2temporal.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8598130841121495,0.7601731601731602,0.795515352274175,"[[76, 1], [14, 16]]","[0, 1]",0.6
extra_trees,threshold_cv,exports/exp_s2temporal.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.822429906542056,0.7545454545454545,0.7675242995997713,"[[70, 7], [12, 18]]","[0, 1]",0.35
rf_balanced,default,exports/exp_s2temporal.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8504672897196262,0.7536796536796537,0.785140562248996,"[[75, 2], [14, 16]]","[0, 1]",
rf_deeper,default,exports/exp_s2temporal.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8411214953271028,0.7471861471861472,0.7750154607297464,"[[74, 3], [14, 16]]","[0, 1]",
