model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.6486486486486487,0.6549707602339181,0.6314176245210728,"[[8, 11], [2, 16]]","[0, 1]",
rf_balanced,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.6486486486486487,0.6491228070175439,0.6486486486486487,"[[12, 7], [6, 12]]","[0, 1]",
rf_deeper,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.6486486486486487,0.6447368421052632,0.6391597899474869,"[[15, 4], [9, 9]]","[0, 1]",
extra_trees,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.6216216216216216,0.6242690058479532,0.6191176470588236,"[[10, 9], [5, 13]]","[0, 1]",
hist_gradient,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.5945945945945946,0.5994152046783625,0.5836459114778695,"[[8, 11], [4, 14]]","[0, 1]",0.1
logistic_l2,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.5405405405405406,0.5526315789473684,0.4348607367475292,"[[2, 17], [0, 18]]","[0, 1]",
hist_gradient,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.5405405405405406,0.5394736842105263,0.5391941391941392,"[[11, 8], [9, 9]]","[0, 1]",
rf_balanced,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.4864864864864865,0.5,0.32727272727272727,"[[0, 19], [0, 18]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.4864864864864865,0.5,0.32727272727272727,"[[0, 19], [0, 18]]","[0, 1]",0.2
extra_trees_kbest,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.4864864864864865,0.5,0.32727272727272727,"[[0, 19], [0, 18]]","[0, 1]",0.25
logistic_l2,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.4864864864864865,0.5,0.32727272727272727,"[[0, 19], [0, 18]]","[0, 1]",0.15
svc_rbf,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.4864864864864865,0.4985380116959064,0.3683737646001797,"[[1, 18], [1, 17]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.4864864864864865,0.4985380116959064,0.3683737646001797,"[[1, 18], [1, 17]]","[0, 1]",0.1
rf_deeper,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.4594594594594595,0.4707602339181286,0.3531468531468532,"[[1, 18], [2, 16]]","[0, 1]",0.1
