model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7023004059539919,0.7237147790597285,0.6990329364374148,"[[298, 167], [53, 221]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7144790257104194,0.7176516756926458,0.7056482745211303,"[[328, 137], [74, 200]]","[0, 1]",0.45
extra_trees,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.713125845737483,0.7113295659681343,0.7022879294618425,"[[334, 131], [81, 193]]","[0, 1]",0.4
extra_trees,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7320703653585927,0.7091437092849855,0.710665981175354,"[[371, 94], [104, 170]]","[0, 1]",
rf_deeper,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7361299052774019,0.708621772231379,0.7119772148103732,"[[379, 86], [109, 165]]","[0, 1]",
extra_trees_kbest,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7320703653585927,0.7076446118828977,0.7097338602171015,"[[373, 92], [106, 168]]","[0, 1]",
rf_deeper,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7185385656292287,0.7066360568244251,0.7030064147152021,"[[350, 115], [93, 181]]","[0, 1]",0.4
extra_trees_kbest,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7212449255751014,0.706537948355702,0.7042805638005252,"[[355, 110], [96, 178]]","[0, 1]",0.45
rf_balanced,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7320703653585927,0.70614551448081,0.7087771674229759,"[[375, 90], [108, 166]]","[0, 1]",
rf_balanced,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7171853856562923,0.6995643983988697,0.698493943564366,"[[357, 108], [101, 173]]","[0, 1]",0.45
logistic_l2,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.6847090663058186,0.6977435052193706,0.6792970823516264,"[[301, 164], [69, 205]]","[0, 1]",
logistic_l2,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.6847090663058186,0.6977435052193706,0.6792970823516264,"[[301, 164], [69, 205]]","[0, 1]",0.5
hist_gradient,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7212449255751014,0.6975433639431756,0.6989757177884995,"[[367, 98], [108, 166]]","[0, 1]",
hist_gradient,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7212449255751014,0.6975433639431756,0.6989757177884995,"[[367, 98], [108, 166]]","[0, 1]",0.5
