model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.5806451612903226,0.5915948275862069,0.5643243243243243,"[[18, 11], [28, 36]]","[0, 1]",0.4
rf_deeper,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.5698924731182796,0.5837823275862069,0.5550239234449761,"[[18, 11], [29, 35]]","[0, 1]",0.45
rf_deeper,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.5483870967741935,0.5681573275862069,0.5363247863247864,"[[18, 11], [31, 33]]","[0, 1]",
svc_rbf,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.5268817204301075,0.5525323275862069,0.5174528301886793,"[[18, 11], [33, 31]]","[0, 1]",
logistic_l2,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.5913978494623656,0.5522629310344828,0.5473872950819672,"[[13, 16], [22, 42]]","[0, 1]",
rf_balanced,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.5161290322580645,0.5447198275862069,0.5079365079365079,"[[18, 11], [34, 30]]","[0, 1]",
hist_gradient,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.4946236559139785,0.5385237068965517,0.4908561444379732,"[[19, 10], [37, 27]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.5698924731182796,0.5272090517241379,0.5235655737704918,"[[12, 17], [23, 41]]","[0, 1]",0.4
extra_trees,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.4731182795698925,0.5228987068965517,0.4709160571229537,"[[19, 10], [39, 25]]","[0, 1]",
extra_trees,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.4731182795698925,0.5228987068965517,0.4709160571229537,"[[19, 10], [39, 25]]","[0, 1]",0.5
hist_gradient,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.43010752688172044,0.5199353448275862,0.4290513147225762,"[[22, 7], [46, 18]]","[0, 1]",0.7
extra_trees_kbest,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.45161290322580644,0.5167025862068966,0.4513591671486408,"[[20, 9], [42, 22]]","[0, 1]",
rf_balanced,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.45161290322580644,0.5072737068965517,0.4505965481292714,"[[19, 10], [41, 23]]","[0, 1]",0.55
logistic_l2,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.4946236559139785,0.5008081896551724,0.4792088645299655,"[[15, 14], [33, 31]]","[0, 1]",0.6
