model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S4,708,59,"{0: 506, 1: 202}","{0: 20, 1: 39}",0.8135593220338984,0.725,0.7485470747772182,"[[9, 11], [0, 39]]","[0, 1]",0.35
logistic_l2,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S4,708,59,"{0: 506, 1: 202}","{0: 20, 1: 39}",0.7288135593220338,0.6852564102564103,0.6894736842105263,"[[11, 9], [7, 32]]","[0, 1]",
hist_gradient,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S4,708,59,"{0: 506, 1: 202}","{0: 20, 1: 39}",0.6949152542372882,0.6717948717948719,0.6672932330827068,"[[12, 8], [10, 29]]","[0, 1]",0.2
extra_trees,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S4,708,59,"{0: 506, 1: 202}","{0: 20, 1: 39}",0.6440677966101694,0.6698717948717949,0.6374012291483757,"[[15, 5], [16, 23]]","[0, 1]",
hist_gradient,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S4,708,59,"{0: 506, 1: 202}","{0: 20, 1: 39}",0.6101694915254238,0.6564102564102564,0.6083694083694083,"[[16, 4], [19, 20]]","[0, 1]",
extra_trees_kbest,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S4,708,59,"{0: 506, 1: 202}","{0: 20, 1: 39}",0.6101694915254238,0.6076923076923078,0.5933473179502546,"[[12, 8], [15, 24]]","[0, 1]",
rf_balanced,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S4,708,59,"{0: 506, 1: 202}","{0: 20, 1: 39}",0.4576271186440678,0.5288461538461539,0.45622119815668205,"[[15, 5], [27, 12]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S4,708,59,"{0: 506, 1: 202}","{0: 20, 1: 39}",0.6779661016949152,0.525,0.4496809032891507,"[[1, 19], [0, 39]]","[0, 1]",0.35
rf_deeper,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S4,708,59,"{0: 506, 1: 202}","{0: 20, 1: 39}",0.4067796610169492,0.5147435897435897,0.3892339544513458,"[[17, 3], [32, 7]]","[0, 1]",
extra_trees,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S4,708,59,"{0: 506, 1: 202}","{0: 20, 1: 39}",0.6610169491525424,0.5,0.3979591836734694,"[[0, 20], [0, 39]]","[0, 1]",0.25
rf_deeper,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S4,708,59,"{0: 506, 1: 202}","{0: 20, 1: 39}",0.4915254237288136,0.4935897435897436,0.47941176470588237,"[[10, 10], [20, 19]]","[0, 1]",0.35
svc_rbf,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S4,708,59,"{0: 506, 1: 202}","{0: 20, 1: 39}",0.6271186440677966,0.4865384615384616,0.424645390070922,"[[1, 19], [3, 36]]","[0, 1]",
rf_balanced,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S4,708,59,"{0: 506, 1: 202}","{0: 20, 1: 39}",0.6271186440677966,0.47435897435897434,0.3854166666666667,"[[0, 20], [2, 37]]","[0, 1]",0.25
svc_rbf,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S4,708,59,"{0: 506, 1: 202}","{0: 20, 1: 39}",0.6101694915254238,0.47371794871794876,0.41634408602150536,"[[1, 19], [4, 35]]","[0, 1]",0.2
