model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8095238095238095,0.8349661869256112,0.7980769230769231,"[[121, 37], [7, 66]]","[0, 1]",0.45
svc_rbf,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8225108225108225,0.8223513091728802,0.8045644951610573,"[[130, 28], [13, 60]]","[0, 1]",0.4
extra_trees_kbest,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.7705627705627706,0.8212242066932547,0.7641812893657184,"[[108, 50], [3, 70]]","[0, 1]",0.2
logistic_l2,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8095238095238095,0.8202271544997399,0.7942176870748299,"[[125, 33], [11, 62]]","[0, 1]",
svc_rbf,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.7878787878787878,0.8191434021154846,0.7774522718782564,"[[116, 42], [7, 66]]","[0, 1]",
extra_trees,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.7965367965367965,0.8181029998265996,0.7838327526132405,"[[120, 38], [9, 64]]","[0, 1]",0.3
hist_gradient,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8138528138528138,0.7939136466100225,0.7884840612423074,"[[134, 24], [19, 54]]","[0, 1]",0.2
rf_balanced,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.7965367965367965,0.7886249349748569,0.7746435020860576,"[[128, 30], [17, 56]]","[0, 1]",0.35
extra_trees_kbest,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8181818181818182,0.7786544130397086,0.7847826086956522,"[[140, 18], [24, 49]]","[0, 1]",
rf_deeper,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8225108225108225,0.7744494537887984,0.7854570166496773,"[[143, 15], [26, 47]]","[0, 1]",
extra_trees,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8095238095238095,0.7723252991156581,0.7763204225352113,"[[138, 20], [24, 49]]","[0, 1]",
rf_deeper,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.7835497835497836,0.7607074735564419,0.7548811544991512,"[[130, 28], [22, 51]]","[0, 1]",0.35
rf_balanced,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8008658008658008,0.754941910872204,0.7623456790123457,"[[139, 19], [27, 46]]","[0, 1]",
hist_gradient,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8008658008658008,0.7512571527657361,0.7603302057019127,"[[140, 18], [28, 45]]","[0, 1]",
