model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
rf_balanced,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.3
rf_deeper,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
rf_deeper,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.3
extra_trees,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
extra_trees,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.35
extra_trees_kbest,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.3
logistic_l2,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
logistic_l2,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.55
svc_rbf,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.35
hist_gradient,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.1
