model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
hist_gradient,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6796116504854369,0.6880252100840336,0.6670584778136939,"[[45, 23], [10, 25]]","[0, 1]",0.15
rf_deeper,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6504854368932039,0.6590336134453781,0.6381733021077283,"[[43, 25], [11, 24]]","[0, 1]",0.3
logistic_l2,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6601941747572816,0.6178571428571429,0.6186395853168306,"[[51, 17], [18, 17]]","[0, 1]",
rf_deeper,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6990291262135923,0.6056722689075631,0.6062399802688372,"[[61, 7], [24, 11]]","[0, 1]",
logistic_l2,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.5339805825242718,0.6054621848739496,0.5335849056603774,"[[26, 42], [6, 29]]","[0, 1]",0.25
extra_trees,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6796116504854369,0.5978991596638655,0.5997880607559166,"[[58, 10], [23, 12]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6213592233009708,0.5953781512605042,0.5911450381679388,"[[46, 22], [17, 18]]","[0, 1]",0.4
rf_balanced,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6019417475728155,0.5945378151260504,0.5829135802469136,"[[42, 26], [15, 20]]","[0, 1]",0.35
rf_balanced,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6796116504854369,0.5909663865546219,0.590728476821192,"[[59, 9], [24, 11]]","[0, 1]",
extra_trees,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6116504854368932,0.58109243697479,0.5782145782145782,"[[46, 22], [18, 17]]","[0, 1]",0.4
extra_trees_kbest,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6601941747572816,0.569327731092437,0.5659241420830825,"[[58, 10], [25, 10]]","[0, 1]",
hist_gradient,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6407766990291263,0.5684873949579832,0.5691351045788582,"[[54, 14], [23, 12]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.5728155339805825,0.5516806722689076,0.546073717948718,"[[42, 26], [18, 17]]","[0, 1]",0.35
svc_rbf,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.5339805825242718,0.5222689075630252,0.5137686860739575,"[[38, 30], [18, 17]]","[0, 1]",
