model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.72,0.613013698630137,0.4608010955152345,"[[53, 20], [1, 1]]","[0, 1]",0.1
rf_balanced,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.9733333333333334,0.5,0.49324324324324326,"[[73, 0], [2, 0]]","[0, 1]",
rf_deeper,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.9733333333333334,0.5,0.49324324324324326,"[[73, 0], [2, 0]]","[0, 1]",
extra_trees,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.9733333333333334,0.5,0.49324324324324326,"[[73, 0], [2, 0]]","[0, 1]",
extra_trees_kbest,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.9733333333333334,0.5,0.49324324324324326,"[[73, 0], [2, 0]]","[0, 1]",
svc_rbf,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.9733333333333334,0.5,0.49324324324324326,"[[73, 0], [2, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.9733333333333334,0.5,0.49324324324324326,"[[73, 0], [2, 0]]","[0, 1]",0.2
hist_gradient,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.9733333333333334,0.5,0.49324324324324326,"[[73, 0], [2, 0]]","[0, 1]",
logistic_l2,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.96,0.4931506849315068,0.4897959183673469,"[[72, 1], [2, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.96,0.4931506849315068,0.4897959183673469,"[[72, 1], [2, 0]]","[0, 1]",0.25
rf_deeper,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.9333333333333333,0.4794520547945205,0.4827586206896552,"[[70, 3], [2, 0]]","[0, 1]",0.1
logistic_l2,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.9333333333333333,0.4794520547945205,0.4827586206896552,"[[70, 3], [2, 0]]","[0, 1]",0.3
rf_balanced,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.8666666666666667,0.4452054794520548,0.4642857142857143,"[[65, 8], [2, 0]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.8,0.410958904109589,0.4444444444444444,"[[60, 13], [2, 0]]","[0, 1]",0.1
