model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.5116279069767442,0.6463963963963965,0.4703812316715542,"[[17, 20], [1, 5]]","[0, 1]",
logistic_l2,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.37209302325581395,0.6351351351351351,0.36661211129296234,"[[10, 27], [0, 6]]","[0, 1]",0.3
svc_rbf,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.4186046511627907,0.5923423423423424,0.39775910364145656,"[[13, 24], [1, 5]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.2558139534883721,0.5675675675675675,0.2554112554112554,"[[5, 32], [0, 6]]","[0, 1]",0.15
rf_balanced,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.3488372093023256,0.5518018018018018,0.3399122807017544,"[[10, 27], [1, 5]]","[0, 1]",0.2
extra_trees,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.20930232558139536,0.5405405405405406,0.20543478260869563,"[[3, 34], [0, 6]]","[0, 1]",0.2
extra_trees_kbest,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.20930232558139536,0.5405405405405406,0.20543478260869563,"[[3, 34], [0, 6]]","[0, 1]",0.2
hist_gradient,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.6511627906976745,0.5180180180180181,0.49332285938727416,"[[26, 11], [4, 2]]","[0, 1]",0.1
hist_gradient,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.7441860465116279,0.5022522522522522,0.5015806111696522,"[[31, 6], [5, 1]]","[0, 1]",
extra_trees_kbest,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.8604651162790697,0.5,0.4625,"[[37, 0], [6, 0]]","[0, 1]",
rf_balanced,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.8372093023255814,0.4864864864864865,0.45569620253164556,"[[36, 1], [6, 0]]","[0, 1]",
extra_trees,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.8372093023255814,0.4864864864864865,0.45569620253164556,"[[36, 1], [6, 0]]","[0, 1]",
rf_deeper,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.7674418604651163,0.44594594594594594,0.4342105263157895,"[[33, 4], [6, 0]]","[0, 1]",
rf_deeper,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.27906976744186046,0.44144144144144143,0.27277686852154936,"[[8, 29], [2, 4]]","[0, 1]",0.15
