model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.8,0.5869565217391304,0.5480112494977902,"[[58, 11], [4, 2]]","[0, 1]",0.45
logistic_l2,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.8,0.5108695652173914,0.5024325519681556,"[[59, 10], [5, 1]]","[0, 1]",
rf_balanced,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
rf_balanced,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",0.5
rf_deeper,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",0.5
extra_trees_kbest,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",0.5
svc_rbf,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.9066666666666666,0.4927536231884058,0.4755244755244755,"[[68, 1], [6, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.8666666666666667,0.47101449275362317,0.4642857142857143,"[[65, 4], [6, 0]]","[0, 1]",0.35
hist_gradient,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.4266666666666667,0.4601449275362319,0.3483532026672055,"[[29, 40], [3, 3]]","[0, 1]",0.1
hist_gradient,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.64,0.42391304347826086,0.42291251068680535,"[[47, 22], [5, 1]]","[0, 1]",
rf_deeper,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.38666666666666666,0.36231884057971014,0.31,"[[27, 42], [4, 2]]","[0, 1]",0.3
