model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.578125,0.6685185185185185,0.5272229822161423,"[[29, 25], [2, 8]]","[0, 1]",
logistic_l2,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.40625,0.6074074074074074,0.39682539682539686,"[[17, 37], [1, 9]]","[0, 1]",0.25
rf_balanced,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.53125,0.6,0.48051948051948057,"[[27, 27], [3, 7]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.4375,0.5851851851851853,0.41700404858299595,"[[20, 34], [2, 8]]","[0, 1]",0.15
svc_rbf,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.4375,0.5851851851851853,0.41700404858299595,"[[20, 34], [2, 8]]","[0, 1]",0.1
hist_gradient,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.765625,0.575925925925926,0.5727636849132176,"[[46, 8], [7, 3]]","[0, 1]",0.2
extra_trees,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.484375,0.5722222222222222,0.44523246650906223,"[[24, 30], [3, 7]]","[0, 1]",0.15
rf_deeper,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.515625,0.55,0.45718194254445965,"[[27, 27], [4, 6]]","[0, 1]",0.1
hist_gradient,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.84375,0.5407407407407407,0.5402298850574713,"[[53, 1], [9, 1]]","[0, 1]",
rf_balanced,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.84375,0.5,0.4576271186440678,"[[54, 0], [10, 0]]","[0, 1]",
rf_deeper,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.84375,0.5,0.4576271186440678,"[[54, 0], [10, 0]]","[0, 1]",
extra_trees,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.84375,0.5,0.4576271186440678,"[[54, 0], [10, 0]]","[0, 1]",
extra_trees_kbest,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.84375,0.5,0.4576271186440678,"[[54, 0], [10, 0]]","[0, 1]",
svc_rbf,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.484375,0.4907407407407407,0.42216142270861834,"[[26, 28], [5, 5]]","[0, 1]",
