model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.6363636363636364,0.5833333333333333,0.5416666666666666,"[[6, 3], [1, 1]]","[0, 1]",
rf_balanced,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
rf_deeper,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
extra_trees,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
extra_trees,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",0.25
extra_trees_kbest,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
svc_rbf,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
hist_gradient,default,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
rf_deeper,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.45454545454545453,0.4722222222222222,0.4107142857142857,"[[4, 5], [1, 1]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.36363636363636365,0.41666666666666663,0.3418803418803419,"[[3, 6], [1, 1]]","[0, 1]",0.15
logistic_l2,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.36363636363636365,0.41666666666666663,0.3418803418803419,"[[3, 6], [1, 1]]","[0, 1]",0.2
hist_gradient,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.6363636363636364,0.3888888888888889,0.3888888888888889,"[[7, 2], [2, 0]]","[0, 1]",0.1
rf_balanced,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.5454545454545454,0.3333333333333333,0.35294117647058826,"[[6, 3], [2, 0]]","[0, 1]",0.15
svc_rbf,threshold_cv,exports/gee_centroid_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.5454545454545454,0.3333333333333333,0.35294117647058826,"[[6, 3], [2, 0]]","[0, 1]",0.1
