model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_all_priority,random,,1723,739,"{0: 1078, 1: 645}","{0: 463, 1: 276}",0.7171853856562923,0.7260071368203587,0.7107772915297339,"[[320, 143], [66, 210]]","[0, 1]",0.45
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_all_priority,random,,1723,739,"{0: 1078, 1: 645}","{0: 463, 1: 276}",0.6982408660351827,0.7233269164553793,0.6961018077477009,"[[289, 174], [49, 227]]","[0, 1]",0.25
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_all_priority,random,,1723,739,"{0: 1078, 1: 645}","{0: 463, 1: 276}",0.6968876860622463,0.7222470028484678,0.6948082595870206,"[[288, 175], [49, 227]]","[0, 1]",
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_all_priority,random,,1723,739,"{0: 1078, 1: 645}","{0: 463, 1: 276}",0.6982408660351827,0.721863555263405,0.6958146059638404,"[[291, 172], [51, 225]]","[0, 1]",0.35
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_all_priority,random,,1723,739,"{0: 1078, 1: 645}","{0: 463, 1: 276}",0.6982408660351827,0.7182051522834695,0.6950152217564705,"[[296, 167], [56, 220]]","[0, 1]",0.4
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_all_priority,random,,1723,739,"{0: 1078, 1: 645}","{0: 463, 1: 276}",0.6874154262516915,0.7168826493880489,0.6860910931434655,"[[278, 185], [46, 230]]","[0, 1]",0.3
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_all_priority,random,,1723,739,"{0: 1078, 1: 645}","{0: 463, 1: 276}",0.7225981055480379,0.7156931793282624,0.7100046898479149,"[[344, 119], [86, 190]]","[0, 1]",
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_all_priority,random,,1723,739,"{0: 1078, 1: 645}","{0: 463, 1: 276}",0.7009472259810555,0.7152432153253827,0.6962394240194028,"[[305, 158], [63, 213]]","[0, 1]",0.4
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_all_priority,random,,1723,739,"{0: 1078, 1: 645}","{0: 463, 1: 276}",0.7117726657645467,0.7136389958368548,0.7028582107725154,"[[327, 136], [77, 199]]","[0, 1]",0.55
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_all_priority,random,,1723,739,"{0: 1078, 1: 645}","{0: 463, 1: 276}",0.6968876860622463,0.7127351551006355,0.6926276385567225,"[[301, 162], [62, 214]]","[0, 1]",
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_all_priority,random,,1723,739,"{0: 1078, 1: 645}","{0: 463, 1: 276}",0.7225981055480379,0.7120347763483269,0.7082286099475179,"[[349, 114], [91, 185]]","[0, 1]",
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_all_priority,random,,1723,739,"{0: 1078, 1: 645}","{0: 463, 1: 276}",0.7266576454668471,0.7072260306132031,0.7075274294670846,"[[363, 100], [102, 174]]","[0, 1]",
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_all_priority,random,,1723,739,"{0: 1078, 1: 645}","{0: 463, 1: 276}",0.7280108254397835,0.7046475412401791,0.7065148452642748,"[[369, 94], [107, 169]]","[0, 1]",
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_all_priority,random,,1723,739,"{0: 1078, 1: 645}","{0: 463, 1: 276}",0.713125845737483,0.7015486587159984,0.69807437328482,"[[346, 117], [95, 181]]","[0, 1]",
