model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_clustering,random,,1525,654,"{0: 894, 1: 631}","{0: 384, 1: 270}",0.7140672782874617,0.7235243055555556,0.7125828717271396,"[[257, 127], [60, 210]]","[0, 1]",0.45
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_clustering,random,,1525,654,"{0: 894, 1: 631}","{0: 384, 1: 270}",0.7171253822629969,0.7222800925925926,0.7144758546963165,"[[266, 118], [67, 203]]","[0, 1]",0.45
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_clustering,random,,1525,654,"{0: 894, 1: 631}","{0: 384, 1: 270}",0.7110091743119266,0.7148726851851852,0.7079439638775409,"[[266, 118], [71, 199]]","[0, 1]",
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_clustering,random,,1525,654,"{0: 894, 1: 631}","{0: 384, 1: 270}",0.6972477064220184,0.7146990740740741,0.6970663921770458,"[[236, 148], [50, 220]]","[0, 1]",0.4
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_clustering,random,,1525,654,"{0: 894, 1: 631}","{0: 384, 1: 270}",0.7155963302752294,0.7138310185185186,0.710352118712676,"[[278, 106], [80, 190]]","[0, 1]",
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_clustering,random,,1525,654,"{0: 894, 1: 631}","{0: 384, 1: 270}",0.7079510703363915,0.71171875,0.704853423812753,"[[265, 119], [72, 198]]","[0, 1]",
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_clustering,random,,1525,654,"{0: 894, 1: 631}","{0: 384, 1: 270}",0.6896024464831805,0.7114872685185185,0.6896017207720093,"[[225, 159], [44, 226]]","[0, 1]",0.3
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_clustering,random,,1525,654,"{0: 894, 1: 631}","{0: 384, 1: 270}",0.7110091743119266,0.710474537037037,0.7062783519118307,"[[274, 110], [79, 191]]","[0, 1]",
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_clustering,random,,1525,654,"{0: 894, 1: 631}","{0: 384, 1: 270}",0.6987767584097859,0.7022569444444444,0.6955818036183892,"[[262, 122], [75, 195]]","[0, 1]",
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_clustering,random,,1525,654,"{0: 894, 1: 631}","{0: 384, 1: 270}",0.6773700305810397,0.7016203703703704,0.6772787333808861,"[[216, 168], [43, 227]]","[0, 1]",0.35
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_clustering,random,,1525,654,"{0: 894, 1: 631}","{0: 384, 1: 270}",0.6850152905198776,0.6971354166666667,0.684161665416354,"[[241, 143], [63, 207]]","[0, 1]",0.4
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_clustering,random,,1525,654,"{0: 894, 1: 631}","{0: 384, 1: 270}",0.6819571865443425,0.6956307870370371,0.6813731460747847,"[[237, 147], [61, 209]]","[0, 1]",
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_clustering,random,,1525,654,"{0: 894, 1: 631}","{0: 384, 1: 270}",0.6666666666666666,0.677662037037037,0.6656535809765021,"[[236, 148], [70, 200]]","[0, 1]",
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_clustering,random,,1525,654,"{0: 894, 1: 631}","{0: 384, 1: 270}",0.6666666666666666,0.677662037037037,0.6656535809765021,"[[236, 148], [70, 200]]","[0, 1]",0.5
