model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.9067796610169492,0.9239795918367346,0.858343337334934,"[[88, 10], [1, 19]]","[0, 1]",0.3
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.9067796610169492,0.9239795918367346,0.858343337334934,"[[88, 10], [1, 19]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.9067796610169492,0.9239795918367346,0.858343337334934,"[[88, 10], [1, 19]]","[0, 1]",0.2
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.8983050847457628,0.9188775510204081,0.8477419354838709,"[[87, 11], [1, 19]]","[0, 1]",0.2
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.8983050847457628,0.9188775510204081,0.8477419354838709,"[[87, 11], [1, 19]]","[0, 1]",0.1
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.923728813559322,0.9142857142857144,0.8764397905759163,"[[91, 7], [2, 18]]","[0, 1]",0.1
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.940677966101695,0.9045918367346939,0.8966854283927455,"[[94, 4], [3, 17]]","[0, 1]",
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.9067796610169492,0.9040816326530612,0.8538781943037261,"[[89, 9], [2, 18]]","[0, 1]",
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.9322033898305084,0.8994897959183674,0.8841433480608738,"[[93, 5], [3, 17]]","[0, 1]",
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.8983050847457628,0.8989795918367347,0.8430851063829787,"[[88, 10], [2, 18]]","[0, 1]",0.35
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.8983050847457628,0.8989795918367347,0.8430851063829787,"[[88, 10], [2, 18]]","[0, 1]",0.45
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.923728813559322,0.8943877551020408,0.8720327750331365,"[[92, 6], [3, 17]]","[0, 1]",
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.923728813559322,0.8744897959183674,0.8671669793621013,"[[93, 5], [4, 16]]","[0, 1]",
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.923728813559322,0.8744897959183674,0.8671669793621013,"[[93, 5], [4, 16]]","[0, 1]",
