model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.6666666666666666,0.6666666666666666,0.6666666666666666,"[[6, 3], [3, 6]]","[0, 1]",
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.5555555555555556,0.5555555555555556,0.5555555555555556,"[[5, 4], [4, 5]]","[0, 1]",
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.5555555555555556,0.5555555555555556,0.55,"[[4, 5], [3, 6]]","[0, 1]",
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.5,0.5,0.4857142857142857,"[[3, 6], [3, 6]]","[0, 1]",
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.5,0.5,0.4857142857142857,"[[3, 6], [3, 6]]","[0, 1]",0.1
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,"[[0, 9], [0, 9]]","[0, 1]",0.15
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,"[[0, 9], [0, 9]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,"[[0, 9], [0, 9]]","[0, 1]",0.25
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,"[[0, 9], [0, 9]]","[0, 1]",0.25
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.4444444444444444,0.4444444444444444,0.375,"[[1, 8], [2, 7]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.4444444444444444,0.4444444444444444,0.375,"[[1, 8], [2, 7]]","[0, 1]",0.1
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.3888888888888889,0.3888888888888889,0.28,"[[0, 9], [2, 7]]","[0, 1]",
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.3888888888888889,0.3888888888888889,0.28,"[[0, 9], [2, 7]]","[0, 1]",
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S2,373,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.3888888888888889,0.3888888888888889,0.28,"[[0, 9], [2, 7]]","[0, 1]",0.4
