model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7334235453315291,0.7327054391335059,0.7232036078995051,"[[342, 123], [74, 200]]","[0, 1]",0.4
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7225981055480379,0.7308492269052664,0.7155904743131236,"[[325, 140], [65, 209]]","[0, 1]",0.35
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7144790257104194,0.7303940036103916,0.7097834482630261,"[[311, 154], [57, 217]]","[0, 1]",0.35
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7361299052774019,0.7258613923553882,0.721749691540982,"[[356, 109], [86, 188]]","[0, 1]",0.4
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7428958051420839,0.7244917981320147,0.7244917981320147,"[[370, 95], [95, 179]]","[0, 1]",
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7415426251691475,0.7219174319127227,0.7224126572071939,"[[371, 94], [97, 177]]","[0, 1]",
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7428958051420839,0.7199945059257515,0.7219119371296385,"[[376, 89], [101, 173]]","[0, 1]",
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7469553450608931,0.7194725688721451,0.7233179502067212,"[[384, 81], [106, 168]]","[0, 1]",
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.6968876860622463,0.7171650576877796,0.6933837148996074,"[[297, 168], [56, 218]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.6941813261163735,0.7120163252491956,0.6900812030521659,"[[299, 166], [60, 214]]","[0, 1]",0.35
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7415426251691475,0.7091751039949767,0.7143524973843286,"[[388, 77], [114, 160]]","[0, 1]",
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.6779431664411367,0.7013617455458755,0.6752739867659223,"[[284, 181], [57, 217]]","[0, 1]",0.2
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.6711772665764547,0.6982340475629856,0.6692781568551618,"[[276, 189], [54, 220]]","[0, 1]",0.45
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.6792963464140731,0.6911937838474217,0.6735555443723125,"[[300, 165], [72, 202]]","[0, 1]",
