model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S2,262,138,"{0: 131, 1: 131}","{0: 76, 1: 62}",0.6666666666666666,0.6691426146010186,0.6660353535353536,"[[49, 27], [19, 43]]","[0, 1]",0.45
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S2,262,138,"{0: 131, 1: 131}","{0: 76, 1: 62}",0.6521739130434783,0.6500424448217317,0.6495238095238096,"[[51, 25], [23, 39]]","[0, 1]",
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S2,262,138,"{0: 131, 1: 131}","{0: 76, 1: 62}",0.572463768115942,0.5925297113752122,0.5642027511641599,"[[30, 46], [13, 49]]","[0, 1]",
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S2,262,138,"{0: 131, 1: 131}","{0: 76, 1: 62}",0.5072463768115942,0.5452037351443124,0.45148468552723875,"[[13, 63], [5, 57]]","[0, 1]",
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S2,262,138,"{0: 131, 1: 131}","{0: 76, 1: 62}",0.5217391304347826,0.5449915110356536,0.50682261208577,"[[24, 52], [14, 48]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S2,262,138,"{0: 131, 1: 131}","{0: 76, 1: 62}",0.5072463768115942,0.5437181663837012,0.4569444444444445,"[[14, 62], [6, 56]]","[0, 1]",0.5
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S2,262,138,"{0: 131, 1: 131}","{0: 76, 1: 62}",0.4855072463768116,0.5254668930390493,0.417998217998218,"[[10, 66], [5, 57]]","[0, 1]",
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S2,262,138,"{0: 131, 1: 131}","{0: 76, 1: 62}",0.4782608695652174,0.5248302207130731,0.3754085994468192,"[[5, 71], [1, 61]]","[0, 1]",
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S2,262,138,"{0: 131, 1: 131}","{0: 76, 1: 62}",0.4855072463768116,0.516553480475382,0.4501374936865144,"[[16, 60], [11, 51]]","[0, 1]",
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S2,262,138,"{0: 131, 1: 131}","{0: 76, 1: 62}",0.47101449275362317,0.5137945670628183,0.3873380769932494,"[[7, 69], [4, 58]]","[0, 1]",0.15
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S2,262,138,"{0: 131, 1: 131}","{0: 76, 1: 62}",0.463768115942029,0.5131578947368421,0.3387723387723388,"[[2, 74], [0, 62]]","[0, 1]",0.4
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S2,262,138,"{0: 131, 1: 131}","{0: 76, 1: 62}",0.45652173913043476,0.506578947368421,0.3245448019317366,"[[1, 75], [0, 62]]","[0, 1]",0.45
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S2,262,138,"{0: 131, 1: 131}","{0: 76, 1: 62}",0.45652173913043476,0.506578947368421,0.3245448019317366,"[[1, 75], [0, 62]]","[0, 1]",0.4
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S2,262,138,"{0: 131, 1: 131}","{0: 76, 1: 62}",0.4492753623188406,0.5,0.31,"[[0, 76], [0, 62]]","[0, 1]",0.45
