model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6896024464831805,0.6875912408759124,0.6847668910496136,"[[266, 114], [89, 185]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6697247706422018,0.6862658470995007,0.6696969696969697,"[[222, 158], [58, 216]]","[0, 1]",0.35
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6880733944954128,0.6852573953131003,0.6828412494651263,"[[267, 113], [91, 183]]","[0, 1]",
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.672782874617737,0.6843161736457933,0.6722648932184339,"[[233, 147], [67, 207]]","[0, 1]",0.4
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6712538226299695,0.684018440261237,0.6709145164121467,"[[230, 150], [65, 209]]","[0, 1]",
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6590214067278287,0.6796004610065309,0.6589249172698465,"[[210, 170], [53, 221]]","[0, 1]",0.35
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6850152905198776,0.6775355359200922,0.6771624108580631,"[[275, 105], [101, 173]]","[0, 1]",
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6819571865443425,0.6774490971955436,0.6758178906428736,"[[268, 112], [96, 178]]","[0, 1]",
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6743119266055045,0.6642527852477911,0.6646517170404074,"[[276, 104], [109, 165]]","[0, 1]",
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6299694189602446,0.6622358816749904,0.6268285091814503,"[[176, 204], [38, 236]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6269113149847095,0.6580772185939301,0.6241556361580857,"[[177, 203], [41, 233]]","[0, 1]",0.3
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6314984709480123,0.656934306569343,0.6305578409242735,"[[190, 190], [51, 223]]","[0, 1]",0.3
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6467889908256881,0.6558394160583941,0.6458873910933907,"[[228, 152], [79, 195]]","[0, 1]",
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6314984709480123,0.6492988859008836,0.6314907167757366,"[[205, 175], [66, 208]]","[0, 1]",0.45
