model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.5803571428571429,0.583963963963964,0.5650665124349334,"[[22, 15], [32, 43]]","[0, 1]",
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.6071428571428571,0.5834234234234235,0.576777739608382,"[[19, 18], [26, 49]]","[0, 1]",
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.7053571428571429,0.5814414414414415,0.5689795918367346,"[[8, 29], [4, 71]]","[0, 1]",
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.5892857142857143,0.5769369369369369,0.5658914728682171,"[[20, 17], [29, 46]]","[0, 1]",
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.5535714285714286,0.5571171171171171,0.538866930171278,"[[21, 16], [34, 41]]","[0, 1]",
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.5625,0.556936936936937,0.543237619642114,"[[20, 17], [32, 43]]","[0, 1]",
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.6607142857142857,0.5481081081081081,0.5363834422657952,"[[8, 29], [9, 66]]","[0, 1]",0.1
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.6785714285714286,0.534054054054054,0.49090909090909096,"[[4, 33], [3, 72]]","[0, 1]",0.3
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.6696428571428571,0.5136936936936938,0.44768759163001465,"[[2, 35], [2, 73]]","[0, 1]",0.45
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.6339285714285714,0.5075675675675676,0.4795421058596849,"[[5, 32], [9, 66]]","[0, 1]",0.3
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.6696428571428571,0.5068468468468469,0.4256410256410257,"[[1, 36], [1, 74]]","[0, 1]",0.25
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.6607142857142857,0.5001801801801802,0.4217391304347826,"[[1, 36], [2, 73]]","[0, 1]",0.2
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.6696428571428571,0.5,0.40106951871657753,"[[0, 37], [0, 75]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.6339285714285714,0.48018018018018016,0.4099961454452011,"[[1, 36], [5, 70]]","[0, 1]",0.35
