model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.7965367965367965,0.8254725160395353,0.7856762145409322,"[[118, 40], [7, 66]]","[0, 1]",
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8051948051948052,0.8244321137506503,0.792087525251515,"[[122, 36], [9, 64]]","[0, 1]",0.3
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8181818181818182,0.8228715103173228,0.8014814208544769,"[[128, 30], [12, 61]]","[0, 1]",
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8181818181818182,0.8228715103173228,0.8014814208544769,"[[128, 30], [12, 61]]","[0, 1]",0.5
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8095238095238095,0.8128576382868042,0.7920281551808807,"[[127, 31], [13, 60]]","[0, 1]",0.35
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8138528138528138,0.8086526790358939,0.7938227785042655,"[[130, 28], [15, 58]]","[0, 1]",0.4
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8181818181818182,0.7823391711461765,0.786487676056338,"[[139, 19], [23, 50]]","[0, 1]",
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.7835497835497836,0.779131264088781,0.7623456790123457,"[[125, 33], [17, 56]]","[0, 1]",0.3
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.7965367965367965,0.7775706606554534,0.7703534488228949,"[[131, 27], [20, 53]]","[0, 1]",0.4
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8138528138528138,0.7754898560776834,0.7805395373500364,"[[139, 19], [24, 49]]","[0, 1]",
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.7792207792207793,0.7722819490202879,0.7568972988588762,"[[125, 33], [18, 55]]","[0, 1]",0.1
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8181818181818182,0.771284896826773,0.7811710573800072,"[[142, 16], [26, 47]]","[0, 1]",
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8225108225108225,0.7670799375758627,0.781577915638477,"[[145, 13], [28, 45]]","[0, 1]",
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8051948051948052,0.7544217097277615,0.764525993883792,"[[141, 17], [28, 45]]","[0, 1]",
