model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.7666666666666667,0.7675194660734149,0.7666666666666667,"[[46, 16], [12, 46]]","[0, 1]",
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.75,0.753615127919911,0.7482517482517483,"[[40, 22], [8, 50]]","[0, 1]",
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.75,0.7519466073414905,0.7497219132369299,"[[43, 19], [11, 47]]","[0, 1]",0.45
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.7416666666666667,0.7444382647385984,0.7407846143125915,"[[41, 21], [10, 48]]","[0, 1]",0.45
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.7416666666666667,0.7427697441601779,0.7416487256059449,"[[44, 18], [13, 45]]","[0, 1]",
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.7333333333333333,0.7347052280311457,0.7332592386774104,"[[43, 19], [13, 45]]","[0, 1]",
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.7333333333333333,0.7347052280311457,0.7332592386774104,"[[43, 19], [13, 45]]","[0, 1]",0.5
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.725,0.7277530589543937,0.7240610410424361,"[[40, 22], [11, 47]]","[0, 1]",
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.725,0.7260845383759733,0.7249809014514896,"[[43, 19], [14, 44]]","[0, 1]",
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.725,0.7255283648498332,0.7249809014514896,"[[44, 18], [15, 43]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.7166666666666667,0.721357063403782,0.7127569698676429,"[[36, 26], [8, 50]]","[0, 1]",0.4
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.7083333333333334,0.7138487208008899,0.7023598611012685,"[[34, 28], [7, 51]]","[0, 1]",0.4
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.7083333333333334,0.707174638487208,0.7073374677722807,"[[46, 16], [19, 39]]","[0, 1]",0.55
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.7,0.7068965517241379,0.6895659672319632,"[[31, 31], [5, 53]]","[0, 1]",0.4
