model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.5866666666666667,0.5303030303030303,0.422360248447205,"[[42, 0], [31, 2]]","[0, 1]",
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.5866666666666667,0.5303030303030303,0.422360248447205,"[[42, 0], [31, 2]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.49333333333333335,0.5054112554112554,0.4925213675213675,"[[17, 25], [13, 20]]","[0, 1]",0.25
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.56,0.5032467532467533,0.38509316770186336,"[[41, 1], [32, 1]]","[0, 1]",
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.56,0.5,0.358974358974359,"[[42, 0], [33, 0]]","[0, 1]",
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.56,0.5,0.358974358974359,"[[42, 0], [33, 0]]","[0, 1]",
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.44,0.5,0.3055555555555556,"[[0, 42], [0, 33]]","[0, 1]",0.2
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.44,0.5,0.3055555555555556,"[[0, 42], [0, 33]]","[0, 1]",0.25
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.5466666666666666,0.4945887445887446,0.4008458646616541,"[[39, 3], [31, 2]]","[0, 1]",0.1
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.41333333333333333,0.4696969696969697,0.29245283018867924,"[[0, 42], [2, 31]]","[0, 1]",0.2
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.41333333333333333,0.4112554112554112,0.4107142857142857,"[[18, 24], [20, 13]]","[0, 1]",0.3
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.41333333333333333,0.3917748917748918,0.3815592203898051,"[[24, 18], [26, 7]]","[0, 1]",
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.3333333333333333,0.3625541125541126,0.3055555555555555,"[[5, 37], [13, 20]]","[0, 1]",0.2
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.37333333333333335,0.3430735930735931,0.3143357323477922,"[[25, 17], [30, 3]]","[0, 1]",
