model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6796116504854369,0.6256302521008403,0.6291325695581015,"[[54, 14], [19, 16]]","[0, 1]",0.45
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6019417475728155,0.5945378151260504,0.5829135802469136,"[[42, 26], [15, 20]]","[0, 1]",0.3
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.5922330097087378,0.5871848739495797,0.5745476003147127,"[[41, 27], [15, 20]]","[0, 1]",0.35
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6893203883495146,0.584453781512605,0.5774358974358974,"[[62, 6], [26, 9]]","[0, 1]",
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6601941747572816,0.5831932773109243,0.5843422114608555,"[[56, 12], [23, 12]]","[0, 1]",
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6213592233009708,0.5815126050420169,0.5809076682316119,"[[48, 20], [19, 16]]","[0, 1]",
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.5922330097087378,0.5802521008403361,0.5708333333333333,"[[42, 26], [16, 19]]","[0, 1]",0.3
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.5339805825242718,0.5777310924369747,0.5328798185941044,"[[30, 38], [10, 25]]","[0, 1]",0.3
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6796116504854369,0.5771008403361344,0.5700189753320684,"[[61, 7], [26, 9]]","[0, 1]",
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6601941747572816,0.5762605042016806,0.5755327917108206,"[[57, 11], [24, 11]]","[0, 1]",
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6407766990291263,0.5684873949579832,0.5691351045788582,"[[54, 14], [23, 12]]","[0, 1]",0.45
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.5922330097087378,0.5663865546218487,0.5621457489878543,"[[44, 24], [18, 17]]","[0, 1]",
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.5922330097087378,0.5455882352941177,0.5455882352941177,"[[47, 21], [21, 14]]","[0, 1]",0.4
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6213592233009708,0.5399159663865546,0.536838464199239,"[[54, 14], [25, 10]]","[0, 1]",
