model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,A5,347,8,"{0: 336, 1: 11}","{0: 7, 1: 1}",0.875,0.5,0.4666666666666667,"[[7, 0], [1, 0]]","[0, 1]",
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,A5,347,8,"{0: 336, 1: 11}","{0: 7, 1: 1}",0.875,0.5,0.4666666666666667,"[[7, 0], [1, 0]]","[0, 1]",
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,A5,347,8,"{0: 336, 1: 11}","{0: 7, 1: 1}",0.875,0.5,0.4666666666666667,"[[7, 0], [1, 0]]","[0, 1]",0.1
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,A5,347,8,"{0: 336, 1: 11}","{0: 7, 1: 1}",0.875,0.5,0.4666666666666667,"[[7, 0], [1, 0]]","[0, 1]",
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,A5,347,8,"{0: 336, 1: 11}","{0: 7, 1: 1}",0.875,0.5,0.4666666666666667,"[[7, 0], [1, 0]]","[0, 1]",0.4
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,A5,347,8,"{0: 336, 1: 11}","{0: 7, 1: 1}",0.875,0.5,0.4666666666666667,"[[7, 0], [1, 0]]","[0, 1]",
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,A5,347,8,"{0: 336, 1: 11}","{0: 7, 1: 1}",0.875,0.5,0.4666666666666667,"[[7, 0], [1, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,A5,347,8,"{0: 336, 1: 11}","{0: 7, 1: 1}",0.875,0.5,0.4666666666666667,"[[7, 0], [1, 0]]","[0, 1]",0.2
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,A5,347,8,"{0: 336, 1: 11}","{0: 7, 1: 1}",0.875,0.5,0.4666666666666667,"[[7, 0], [1, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,A5,347,8,"{0: 336, 1: 11}","{0: 7, 1: 1}",0.875,0.5,0.4666666666666667,"[[7, 0], [1, 0]]","[0, 1]",0.65
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,A5,347,8,"{0: 336, 1: 11}","{0: 7, 1: 1}",0.75,0.42857142857142855,0.42857142857142855,"[[6, 1], [1, 0]]","[0, 1]",
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,A5,347,8,"{0: 336, 1: 11}","{0: 7, 1: 1}",0.625,0.35714285714285715,0.38461538461538464,"[[5, 2], [1, 0]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,A5,347,8,"{0: 336, 1: 11}","{0: 7, 1: 1}",0.5,0.2857142857142857,0.3333333333333333,"[[4, 3], [1, 0]]","[0, 1]",0.1
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,A5,347,8,"{0: 336, 1: 11}","{0: 7, 1: 1}",0.125,0.07142857142857142,0.1111111111111111,"[[1, 6], [1, 0]]","[0, 1]",0.15
