model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.29333333333333333,0.636986301369863,0.25014148273910586,"[[20, 53], [0, 2]]","[0, 1]",0.1
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.9733333333333334,0.5,0.49324324324324326,"[[73, 0], [2, 0]]","[0, 1]",
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.9733333333333334,0.5,0.49324324324324326,"[[73, 0], [2, 0]]","[0, 1]",
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.9733333333333334,0.5,0.49324324324324326,"[[73, 0], [2, 0]]","[0, 1]",
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.9733333333333334,0.5,0.49324324324324326,"[[73, 0], [2, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.9733333333333334,0.5,0.49324324324324326,"[[73, 0], [2, 0]]","[0, 1]",0.15
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.9733333333333334,0.5,0.49324324324324326,"[[73, 0], [2, 0]]","[0, 1]",0.8
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.96,0.4931506849315068,0.4897959183673469,"[[72, 1], [2, 0]]","[0, 1]",
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.92,0.4726027397260274,0.4791666666666667,"[[69, 4], [2, 0]]","[0, 1]",
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.8933333333333333,0.4589041095890411,0.47183098591549294,"[[67, 6], [2, 0]]","[0, 1]",
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.8666666666666667,0.4452054794520548,0.4642857142857143,"[[65, 8], [2, 0]]","[0, 1]",0.1
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.7733333333333333,0.3972602739726027,0.43609022556390975,"[[58, 15], [2, 0]]","[0, 1]",0.2
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.6666666666666666,0.3424657534246575,0.4,"[[50, 23], [2, 0]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_red_showy,leave_area_out,SIT,280,75,"{0: 270, 1: 10}","{0: 73, 1: 2}",0.64,0.3287671232876712,0.3902439024390244,"[[48, 25], [2, 0]]","[0, 1]",0.1
