model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 272, 1: 47}","{0: 20, 1: 16}",0.5833333333333334,0.53125,0.42245989304812837,"[[20, 0], [15, 1]]","[0, 1]",
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 272, 1: 47}","{0: 20, 1: 16}",0.5555555555555556,0.5,0.35714285714285715,"[[20, 0], [16, 0]]","[0, 1]",
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 272, 1: 47}","{0: 20, 1: 16}",0.5555555555555556,0.5,0.35714285714285715,"[[20, 0], [16, 0]]","[0, 1]",
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 272, 1: 47}","{0: 20, 1: 16}",0.5555555555555556,0.5,0.35714285714285715,"[[20, 0], [16, 0]]","[0, 1]",
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 272, 1: 47}","{0: 20, 1: 16}",0.5277777777777778,0.48125,0.39225422045680236,"[[18, 2], [15, 1]]","[0, 1]",
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 272, 1: 47}","{0: 20, 1: 16}",0.4722222222222222,0.44375,0.4178723404255319,"[[14, 6], [13, 3]]","[0, 1]",0.25
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 272, 1: 47}","{0: 20, 1: 16}",0.4722222222222222,0.4375,0.3930789707187223,"[[15, 5], [14, 2]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 272, 1: 47}","{0: 20, 1: 16}",0.3888888888888889,0.4125,0.37142857142857144,"[[4, 16], [6, 10]]","[0, 1]",0.2
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 272, 1: 47}","{0: 20, 1: 16}",0.4166666666666667,0.40625,0.40519276160503537,"[[10, 10], [11, 5]]","[0, 1]",0.25
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 272, 1: 47}","{0: 20, 1: 16}",0.4166666666666667,0.40625,0.40519276160503537,"[[10, 10], [11, 5]]","[0, 1]",0.45
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 272, 1: 47}","{0: 20, 1: 16}",0.3888888888888889,0.38125,0.38125,"[[9, 11], [11, 5]]","[0, 1]",0.15
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 272, 1: 47}","{0: 20, 1: 16}",0.3888888888888889,0.375,0.37142857142857144,"[[10, 10], [12, 4]]","[0, 1]",
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 272, 1: 47}","{0: 20, 1: 16}",0.3888888888888889,0.375,0.37142857142857144,"[[10, 10], [12, 4]]","[0, 1]",
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 272, 1: 47}","{0: 20, 1: 16}",0.3611111111111111,0.3625,0.36061776061776063,"[[7, 13], [10, 6]]","[0, 1]",0.1
