model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.7272727272727273,0.7333333333333334,0.7272727272727273,"[[4, 1], [2, 4]]","[0, 1]",0.15
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.6363636363636364,0.6666666666666666,0.6071428571428572,"[[5, 0], [4, 2]]","[0, 1]",
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.6363636363636364,0.6333333333333333,0.6333333333333333,"[[3, 2], [2, 4]]","[0, 1]",0.2
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.6363636363636364,0.6166666666666667,0.6071428571428572,"[[2, 3], [1, 5]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.5454545454545454,0.5333333333333333,0.5299145299145299,"[[2, 3], [2, 4]]","[0, 1]",0.25
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.5,0.3125,"[[5, 0], [6, 0]]","[0, 1]",
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.5,0.3125,"[[5, 0], [6, 0]]","[0, 1]",
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.5,0.3125,"[[5, 0], [6, 0]]","[0, 1]",
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.5,0.3125,"[[5, 0], [6, 0]]","[0, 1]",
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.48333333333333334,0.4107142857142857,"[[4, 1], [5, 1]]","[0, 1]",
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.45,0.45,"[[2, 3], [3, 3]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.43333333333333335,0.4107142857142857,"[[1, 4], [2, 4]]","[0, 1]",0.2
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.43333333333333335,0.4107142857142857,"[[1, 4], [2, 4]]","[0, 1]",
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.43333333333333335,0.4107142857142857,"[[1, 4], [2, 4]]","[0, 1]",0.5
