model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.48,0.6200284090909092,0.44821731748726656,"[[27, 37], [2, 9]]","[0, 1]",0.25
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8,0.6193181818181819,0.6148579253680246,"[[56, 8], [7, 4]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.4533333333333333,0.6044034090909092,0.4272676476066307,"[[25, 39], [2, 9]]","[0, 1]",0.25
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.6933333333333334,0.5944602272727273,0.5532245532245532,"[[47, 17], [6, 5]]","[0, 1]",0.2
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.56,0.5916193181818181,0.4887419954554844,"[[35, 29], [4, 7]]","[0, 1]",0.25
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8666666666666667,0.5454545454545454,0.5471014492753623,"[[64, 0], [10, 1]]","[0, 1]",
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8666666666666667,0.5454545454545454,0.5471014492753623,"[[64, 0], [10, 1]]","[0, 1]",
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.84,0.5298295454545454,0.5273109243697479,"[[62, 2], [10, 1]]","[0, 1]",
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.6133333333333333,0.5099431818181819,0.4797895240373117,"[[42, 22], [7, 4]]","[0, 1]",
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8533333333333334,0.5,0.460431654676259,"[[64, 0], [11, 0]]","[0, 1]",
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8533333333333334,0.5,0.460431654676259,"[[64, 0], [11, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.5733333333333334,0.4865056818181818,0.4545454545454546,"[[39, 25], [7, 4]]","[0, 1]",0.2
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.16,0.47017045454545453,0.1503326739795001,"[[2, 62], [1, 10]]","[0, 1]",
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.13333333333333333,0.45454545454545453,0.11764705882352941,"[[0, 64], [1, 10]]","[0, 1]",0.3
