model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.84,0.6847826086956521,0.6212121212121212,"[[60, 9], [3, 3]]","[0, 1]",
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.8666666666666667,0.5471014492753623,0.5471014492753623,"[[64, 5], [5, 1]]","[0, 1]",0.55
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.52,0.5108695652173914,0.40476190476190477,"[[36, 33], [3, 3]]","[0, 1]",0.2
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",0.45
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",0.55
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.9066666666666666,0.4927536231884058,0.4755244755244755,"[[68, 1], [6, 0]]","[0, 1]",
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.8933333333333333,0.4855072463768116,0.47183098591549294,"[[67, 2], [6, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.8933333333333333,0.4855072463768116,0.47183098591549294,"[[67, 2], [6, 0]]","[0, 1]",0.4
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.56,0.4565217391304348,0.4080363549390098,"[[40, 29], [4, 2]]","[0, 1]",
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.49333333333333335,0.42028985507246375,0.3716931216931217,"[[35, 34], [4, 2]]","[0, 1]",0.35
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.32,0.40217391304347827,0.2784380305602716,"[[21, 48], [3, 3]]","[0, 1]",0.3
