model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.703125,0.6611111111111111,0.5956102427668772,"[[39, 15], [4, 6]]","[0, 1]",0.2
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.5625,0.6185185185185185,0.5038759689922481,"[[29, 25], [3, 7]]","[0, 1]",
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.453125,0.5944444444444444,0.4295900178253119,"[[21, 33], [2, 8]]","[0, 1]",0.35
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.46875,0.5629629629629629,0.43333333333333335,"[[23, 31], [3, 7]]","[0, 1]",0.15
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.84375,0.5,0.4576271186440678,"[[54, 0], [10, 0]]","[0, 1]",
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.84375,0.5,0.4576271186440678,"[[54, 0], [10, 0]]","[0, 1]",
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.84375,0.5,0.4576271186440678,"[[54, 0], [10, 0]]","[0, 1]",
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.84375,0.5,0.4576271186440678,"[[54, 0], [10, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.359375,0.4981481481481481,0.34645080946450807,"[[16, 38], [3, 7]]","[0, 1]",0.1
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.765625,0.4944444444444444,0.4912559618441972,"[[48, 6], [9, 1]]","[0, 1]",
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.671875,0.47962962962962963,0.47805825242718447,"[[41, 13], [8, 2]]","[0, 1]",0.2
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.671875,0.47962962962962963,0.47805825242718447,"[[41, 13], [8, 2]]","[0, 1]",0.1
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.734375,0.4759259259259259,0.47464992757122165,"[[46, 8], [9, 1]]","[0, 1]",0.2
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 261, 1: 30}","{0: 54, 1: 10}",0.46875,0.44074074074074077,0.39756367663344405,"[[26, 28], [6, 4]]","[0, 1]",
