model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.7272727272727273,0.6388888888888888,0.611764705882353,"[[7, 2], [1, 1]]","[0, 1]",
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.6363636363636364,0.5833333333333333,0.5416666666666666,"[[6, 3], [1, 1]]","[0, 1]",0.2
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",0.15
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",0.1
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",0.15
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.7272727272727273,0.4444444444444444,0.42105263157894735,"[[8, 1], [2, 0]]","[0, 1]",0.25
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.2727272727272727,0.3611111111111111,0.26666666666666666,"[[2, 7], [1, 1]]","[0, 1]",0.15
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.5454545454545454,0.3333333333333333,0.35294117647058826,"[[6, 3], [2, 0]]","[0, 1]",0.15
