model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.5066666666666667,0.6428571428571429,0.41269841269841273,"[[34, 36], [1, 4]]","[0, 1]",0.15
hist_gradient,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.8666666666666667,0.5571428571428572,0.5471014492753623,"[[64, 6], [4, 1]]","[0, 1]",0.1
svc_rbf,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.8533333333333334,0.55,0.536777091521617,"[[63, 7], [4, 1]]","[0, 1]",
extra_trees,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.6666666666666666,0.5428571428571429,0.4656597321174124,"[[48, 22], [3, 2]]","[0, 1]",0.2
svc_rbf,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.84,0.5428571428571428,0.5273109243697479,"[[62, 8], [4, 1]]","[0, 1]",0.15
rf_balanced,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
rf_deeper,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
rf_deeper,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",0.25
extra_trees,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
extra_trees_kbest,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
hist_gradient,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.92,0.4928571428571429,0.4791666666666667,"[[69, 1], [5, 0]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9066666666666666,0.4857142857142857,0.4755244755244755,"[[68, 2], [5, 0]]","[0, 1]",0.3
logistic_l2,threshold_cv,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.4666666666666667,0.4357142857142857,0.3567753001715266,"[[33, 37], [3, 2]]","[0, 1]",0.3
logistic_l2,default,exports/gee_mean_2024_acacia_label_configs.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.6133333333333333,0.4214285714285715,0.4104093250203307,"[[45, 25], [4, 1]]","[0, 1]",
