model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S4,2284,178,"{0: 1473, 1: 811}","{0: 68, 1: 110}",0.6629213483146067,0.6627005347593583,0.6543689320388351,"[[45, 23], [37, 73]]","[0, 1]",0.4
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S4,2284,178,"{0: 1473, 1: 811}","{0: 68, 1: 110}",0.5168539325842697,0.5894385026737968,0.5027286902286902,"[[61, 7], [79, 31]]","[0, 1]",
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S4,2284,178,"{0: 1473, 1: 811}","{0: 68, 1: 110}",0.5730337078651685,0.5843582887700535,0.5695558101056383,"[[43, 25], [51, 59]]","[0, 1]",0.4
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S4,2284,178,"{0: 1473, 1: 811}","{0: 68, 1: 110}",0.5224719101123596,0.5771390374331551,0.5180761267717789,"[[55, 13], [72, 38]]","[0, 1]",0.4
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S4,2284,178,"{0: 1473, 1: 811}","{0: 68, 1: 110}",0.46629213483146065,0.554144385026738,0.43321602145131555,"[[63, 5], [90, 20]]","[0, 1]",
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S4,2284,178,"{0: 1473, 1: 811}","{0: 68, 1: 110}",0.5842696629213483,0.5513368983957219,0.5516678012253233,"[[28, 40], [34, 76]]","[0, 1]",
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S4,2284,178,"{0: 1473, 1: 811}","{0: 68, 1: 110}",0.43258426966292135,0.5381016042780749,0.367751011077897,"[[67, 1], [100, 10]]","[0, 1]",
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S4,2284,178,"{0: 1473, 1: 811}","{0: 68, 1: 110}",0.4438202247191011,0.5359625668449198,0.4021374045801527,"[[63, 5], [94, 16]]","[0, 1]",
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S4,2284,178,"{0: 1473, 1: 811}","{0: 68, 1: 110}",0.6235955056179775,0.5270053475935829,0.47367491945805196,"[[8, 60], [7, 103]]","[0, 1]",
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S4,2284,178,"{0: 1473, 1: 811}","{0: 68, 1: 110}",0.6235955056179775,0.5270053475935829,0.47367491945805196,"[[8, 60], [7, 103]]","[0, 1]",0.5
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S4,2284,178,"{0: 1473, 1: 811}","{0: 68, 1: 110}",0.5280898876404494,0.5199197860962567,0.516116504854369,"[[33, 35], [49, 61]]","[0, 1]",0.35
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S4,2284,178,"{0: 1473, 1: 811}","{0: 68, 1: 110}",0.5674157303370787,0.518048128342246,0.5140233308513279,"[[21, 47], [30, 80]]","[0, 1]",0.35
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S4,2284,178,"{0: 1473, 1: 811}","{0: 68, 1: 110}",0.4606741573033708,0.5159090909090909,0.45377828922132724,"[[51, 17], [79, 31]]","[0, 1]",
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S4,2284,178,"{0: 1473, 1: 811}","{0: 68, 1: 110}",0.48314606741573035,0.4835561497326203,0.4765375271704386,"[[33, 35], [57, 53]]","[0, 1]",0.2
