model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.75,0.75,0.7211948790896159,"[[6, 2], [5, 15]]","[0, 1]",
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7857142857142857,0.7,0.7142857142857144,"[[4, 4], [2, 18]]","[0, 1]",0.2
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.75,0.6375,0.6493738819320215,"[[3, 5], [2, 18]]","[0, 1]",
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.575,0.5757575757575758,"[[2, 6], [2, 18]]","[0, 1]",
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.6071428571428571,0.575,0.5618776671408251,"[[4, 4], [7, 13]]","[0, 1]",
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.5,0.575,0.49743589743589745,"[[6, 2], [12, 8]]","[0, 1]",
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.75,0.5625,0.5366430260047281,"[[1, 7], [0, 20]]","[0, 1]",0.1
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.6071428571428571,0.5375,0.5354449472096531,"[[3, 5], [6, 14]]","[0, 1]",0.3
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.41666666666666663,"[[0, 8], [0, 20]]","[0, 1]",0.2
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.41666666666666663,"[[0, 8], [0, 20]]","[0, 1]",0.25
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.41666666666666663,"[[0, 8], [0, 20]]","[0, 1]",0.15
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.41666666666666663,"[[0, 8], [0, 20]]","[0, 1]",
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.41666666666666663,"[[0, 8], [0, 20]]","[0, 1]",0.1
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.25,0.4375,0.19999999999999998,"[[7, 1], [20, 0]]","[0, 1]",
