model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.5483870967741935,0.5681573275862069,0.5363247863247863,"[[18, 11], [31, 33]]","[0, 1]",0.45
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.5698924731182796,0.5649245689655172,0.5467836257309941,"[[16, 13], [27, 37]]","[0, 1]",0.4
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.5483870967741935,0.5492995689655172,0.5287162162162162,"[[16, 13], [29, 35]]","[0, 1]",0.4
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.46236559139784944,0.5433728448275862,0.46230342275670677,"[[22, 7], [43, 21]]","[0, 1]",
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.5268817204301075,0.5431034482758621,0.5142450142450142,"[[17, 12], [32, 32]]","[0, 1]",
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.6129032258064516,0.5396012931034483,0.5401098901098901,"[[10, 19], [17, 47]]","[0, 1]",0.35
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.6129032258064516,0.5396012931034483,0.5401098901098901,"[[10, 19], [17, 47]]","[0, 1]",0.4
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.5161290322580645,0.5352909482758621,0.5049094995859458,"[[17, 12], [33, 31]]","[0, 1]",
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.4731182795698925,0.5323275862068966,0.47214178153596664,"[[20, 9], [40, 24]]","[0, 1]",
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.43010752688172044,0.529364224137931,0.42772553117380707,"[[23, 6], [47, 17]]","[0, 1]",0.7
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.4946236559139785,0.5290948275862069,0.4887121300736928,"[[18, 11], [36, 28]]","[0, 1]",
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.4731182795698925,0.5228987068965517,0.4709160571229536,"[[19, 10], [39, 25]]","[0, 1]",
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.4946236559139785,0.5196659482758621,0.48606701940035274,"[[17, 12], [35, 29]]","[0, 1]",0.45
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S3,307,93,"{0: 178, 1: 129}","{0: 29, 1: 64}",0.5483870967741935,0.5021551724137931,0.4997438524590164,"[[11, 18], [24, 40]]","[0, 1]",
