model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.6964285714285714,0.6227027027027027,0.628125,"[[15, 22], [12, 63]]","[0, 1]",0.1
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.6785714285714286,0.5888288288288288,0.5902439024390244,"[[12, 25], [11, 64]]","[0, 1]",
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.7053571428571429,0.5814414414414415,0.5689795918367346,"[[8, 29], [4, 71]]","[0, 1]",0.3
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.5625,0.5637837837837838,0.5465587044534413,"[[21, 16], [33, 42]]","[0, 1]",
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.5714285714285714,0.5499099099099098,0.5428571428571428,"[[18, 19], [29, 46]]","[0, 1]",
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.5357142857142857,0.5437837837837838,0.5234042553191489,"[[21, 16], [36, 39]]","[0, 1]",
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.6785714285714286,0.5272072072072073,0.47252747252747257,"[[3, 34], [2, 73]]","[0, 1]",0.3
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.5357142857142857,0.5232432432432432,0.5133689839572193,"[[18, 19], [33, 42]]","[0, 1]",
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.6785714285714286,0.5203603603603604,0.45217391304347826,"[[2, 35], [1, 74]]","[0, 1]",0.35
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.5267857142857143,0.5165765765765766,0.5059508947149396,"[[18, 19], [34, 41]]","[0, 1]",
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.6785714285714286,0.5135135135135135,0.4295415959252971,"[[1, 36], [0, 75]]","[0, 1]",
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.6517857142857143,0.5003603603603604,0.43877682127714246,"[[2, 35], [4, 71]]","[0, 1]",0.25
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.6428571428571429,0.4936936936936937,0.43434343434343436,"[[2, 35], [5, 70]]","[0, 1]",0.3
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S3,655,112,"{0: 489, 1: 166}","{0: 37, 1: 75}",0.6607142857142857,0.49333333333333335,0.39784946236559143,"[[0, 37], [1, 74]]","[0, 1]",0.2
