model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8181818181818182,0.8486648170625974,0.8080788099382814,"[[121, 37], [5, 68]]","[0, 1]",0.3
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.7878787878787878,0.8154586440090168,0.7765560534575675,"[[117, 41], [8, 65]]","[0, 1]",
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8095238095238095,0.8091728801803364,0.7908641975308642,"[[128, 30], [14, 59]]","[0, 1]",0.4
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.7835497835497836,0.8086093289405236,0.7715223927836683,"[[117, 41], [9, 64]]","[0, 1]",0.4
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8051948051948052,0.8060083232183111,0.7867123540636477,"[[127, 31], [14, 59]]","[0, 1]",
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8138528138528138,0.7939136466100225,0.7884840612423074,"[[134, 24], [19, 54]]","[0, 1]",0.15
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8008658008658008,0.7881047338304145,0.7774007038712922,"[[130, 28], [18, 55]]","[0, 1]",0.35
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8181818181818182,0.7823391711461765,0.786487676056338,"[[139, 19], [23, 50]]","[0, 1]",
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8268398268398268,0.7776140107508236,0.7897706589006188,"[[144, 14], [26, 47]]","[0, 1]",
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.7965367965367965,0.7775706606554534,0.7703534488228948,"[[131, 27], [20, 53]]","[0, 1]",0.4
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8181818181818182,0.7749696549332408,0.783011272141707,"[[141, 17], [25, 48]]","[0, 1]",
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8008658008658008,0.7659961851916075,0.7679507337526206,"[[136, 22], [24, 49]]","[0, 1]",
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.7965367965367965,0.7628316282295822,0.763798542369194,"[[135, 23], [24, 49]]","[0, 1]",0.4
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8051948051948052,0.7617912259406971,0.7684700536784195,"[[139, 19], [26, 47]]","[0, 1]",
