model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.5046728971962616,0.6575956937799043,0.4867408815277401,"[[37, 51], [2, 17]]","[0, 1]",0.15
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.4672897196261682,0.6555023923444976,0.4580111970141295,"[[32, 56], [1, 18]]","[0, 1]",0.15
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7009345794392523,0.65311004784689,0.6037037037037036,"[[64, 24], [8, 11]]","[0, 1]",0.2
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7476635514018691,0.6196172248803828,0.6070991432068543,"[[72, 16], [11, 8]]","[0, 1]",
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7102803738317757,0.6175239234449761,0.5897340754483612,"[[67, 21], [10, 9]]","[0, 1]",0.25
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.3925233644859813,0.6100478468899522,0.3906072023131516,"[[24, 64], [1, 18]]","[0, 1]",0.1
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7289719626168224,0.6082535885167464,0.5919789612097305,"[[70, 18], [11, 8]]","[0, 1]",0.1
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.6915887850467289,0.6061602870813397,0.5752435943702634,"[[65, 23], [10, 9]]","[0, 1]",
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.6915887850467289,0.6061602870813397,0.5752435943702634,"[[65, 23], [10, 9]]","[0, 1]",0.2
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.8317757009345794,0.5675837320574163,0.5776315789473685,"[[86, 2], [16, 3]]","[0, 1]",
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.8037383177570093,0.5299043062200957,0.5244444444444445,"[[84, 4], [17, 2]]","[0, 1]",
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7850467289719626,0.5185406698564593,0.5125767478708655,"[[82, 6], [17, 2]]","[0, 1]",
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.822429906542056,0.5,0.45128205128205123,"[[88, 0], [19, 0]]","[0, 1]",
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.822429906542056,0.5,0.45128205128205123,"[[88, 0], [19, 0]]","[0, 1]",
