model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6666666666666666,0.5309090909090909,0.5178571428571428,"[[22, 3], [9, 2]]","[0, 1]",
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6388888888888888,0.5109090909090909,0.4994652406417112,"[[21, 4], [9, 2]]","[0, 1]",0.15
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",0.35
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.4722222222222222,0.4927272727272727,0.4618410700236034,"[[11, 14], [5, 6]]","[0, 1]",0.3
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6111111111111112,0.49090909090909096,0.4814814814814815,"[[20, 5], [9, 2]]","[0, 1]",0.3
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6388888888888888,0.48545454545454547,0.45263157894736844,"[[22, 3], [10, 1]]","[0, 1]",
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.5833333333333334,0.47090909090909094,0.4637537239324727,"[[19, 6], [9, 2]]","[0, 1]",0.3
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6111111111111112,0.46545454545454545,0.4375,"[[21, 4], [10, 1]]","[0, 1]",0.35
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.5833333333333334,0.4454545454545455,0.4224598930481283,"[[20, 5], [10, 1]]","[0, 1]",0.35
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.4722222222222222,0.4163636363636364,0.41787234042553195,"[[14, 11], [8, 3]]","[0, 1]",
