model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.8666666666666667,0.5471014492753623,0.5471014492753623,"[[64, 5], [5, 1]]","[0, 1]",
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",0.65
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",0.4
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",0.7
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.9066666666666666,0.4927536231884058,0.4755244755244755,"[[68, 1], [6, 0]]","[0, 1]",
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.9066666666666666,0.4927536231884058,0.4755244755244755,"[[68, 1], [6, 0]]","[0, 1]",0.4
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.8933333333333333,0.4855072463768116,0.471830985915493,"[[67, 2], [6, 0]]","[0, 1]",
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.41333333333333333,0.4528985507246377,0.33999999999999997,"[[28, 41], [3, 3]]","[0, 1]",0.3
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.8133333333333334,0.4420289855072464,0.4485294117647059,"[[61, 8], [6, 0]]","[0, 1]",0.4
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_fused_original_buffer20_acacia_label_configs.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.6266666666666667,0.41666666666666663,0.41666666666666663,"[[46, 23], [5, 1]]","[0, 1]",0.15
