model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7857142857142857,0.7,0.7142857142857144,"[[4, 4], [2, 18]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.575,0.5757575757575758,"[[2, 6], [2, 18]]","[0, 1]",0.15
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.5,0.575,0.49743589743589745,"[[6, 2], [12, 8]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.6428571428571429,0.5625,0.5625,"[[3, 5], [5, 15]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.75,0.5625,0.5366430260047281,"[[1, 7], [0, 20]]","[0, 1]",0.2
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5375,0.5130434782608696,"[[1, 7], [1, 19]]","[0, 1]",0.15
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.41666666666666663,"[[0, 8], [0, 20]]","[0, 1]",0.1
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.41666666666666663,"[[0, 8], [0, 20]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.41666666666666663,"[[0, 8], [0, 20]]","[0, 1]",0.2
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.41666666666666663,"[[0, 8], [0, 20]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.41666666666666663,"[[0, 8], [0, 20]]","[0, 1]",0.15
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.6428571428571429,0.4875,0.46969696969696967,"[[1, 7], [3, 17]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.6428571428571429,0.4875,0.46969696969696967,"[[1, 7], [3, 17]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.2857142857142857,0.4625,0.25133689839572193,"[[7, 1], [19, 1]]","[0, 1]",
